time,station_id,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2019-01-01,1000,146.6,46.0,20.0,9.0,17.0,5.0
2019-01-01,1008,59.4,45.0,20.0,6.0,17.0,4.0
2019-01-01,1002,154.0,45.0,20.0,9.0,16.0,4.0
2019-01-01,1007,125.4,44.0,22.0,10.0,19.0,5.0
2019-01-01,1001,90.6,43.0,18.0,7.0,17.0,5.0
2019-01-01,1006,109.6,43.0,18.0,6.0,18.0,4.0
2019-01-01,1004,84.0,49.0,20.0,6.0,19.0,3.0
2019-01-01,1003,74.6,56.0,21.0,6.0,19.0,5.0
2019-01-01,1005,98.8,90.0,33.0,9.0,9.0,3.0
2019-01-02,1004,87.0,60.0,29.0,9.0,7.0,6.0
2019-01-02,1008,100.0,59.0,28.0,10.0,10.0,6.0
2019-01-02,1000,116.0,54.0,27.0,11.0,9.0,7.0
2019-01-02,1001,115.0,52.0,25.0,10.0,7.0,7.0
2019-01-02,1002,97.0,52.0,26.0,11.0,9.0,5.0
2019-01-02,1006,103.0,54.0,27.0,7.0,8.0,5.0
2019-01-02,1005,137.0,97.0,37.0,11.0,3.0,4.0
2019-01-02,1007,98.0,50.0,28.0,13.0,10.0,5.0
2019-01-02,1003,124.0,49.0,24.0,7.0,9.0,5.0
2019-01-03,1002,111.0,92.0,43.0,22.0,5.0,13.0
2019-01-03,1000,118.0,100.0,42.0,21.0,5.0,14.0
2019-01-03,1007,110.0,86.0,42.0,23.0,4.0,9.0
2019-01-03,1005,164.0,121.0,46.0,17.0,1.0,7.0
2019-01-03,1008,128.0,105.0,43.0,19.0,3.0,13.0
2019-01-03,1003,110.0,95.0,36.0,15.0,4.0,10.0
2019-01-03,1006,113.0,95.0,37.0,16.0,1.0,8.0
2019-01-03,1001,113.0,99.0,38.0,16.0,3.0,12.0
2019-01-03,1004,114.0,99.0,38.0,16.0,4.0,10.0
2019-01-04,1003,199.0,44.0,15.0,6.0,25.0,3.0
