time,station,PM2_5,PM10,NO2,CO,O3,SO2,district_id,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12,HDBSCAN_3,HDBSCAN_4,HDBSCAN_6,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,RAIN
2019-01-01,1001,90.6,43.0,18.0,7.0,17.0,5.0,2,10.06,0.0,64.17,7.77,1,210.0,2019,1,1,90.6,1,0,4,6,1,0,4,6,0.6873565557359164,-1.508382505599393,0.6873565557359164,-1.508382505599393,0.6873565557359164,-1.508382505599393,0
2019-01-02,1001,115.0,52.0,25.0,10.0,7.0,7.0,2,9.28,0.0,66.25,7.15,1,201.08,2019,1,2,115.0,0,2,2,7,0,2,2,7,15.932459505177572,2.097804482299531,15.932459505177572,2.097804482299531,15.932459505177572,2.097804482299531,0
2019-01-03,1001,113.0,99.0,38.0,16.0,3.0,12.0,2,8.71,0.0,68.0,8.47,1,200.12,2019,1,3,113.0,1,0,5,5,1,0,5,5,-0.48915756447900477,-3.5134286347008503,-0.48915756447900477,-3.5134286347008503,-0.48915756447900477,-3.5134286347008503,0
2019-01-04,1001,199.0,38.0,10.0,3.0,24.0,3.0,2,9.59,0.0,60.38,7.75,1,208.04,2019,1,4,199.0,0,2,4,8,0,2,4,8,4.008730460514337,1.3106814836055793,4.008730460514337,1.3106814836055793,4.008730460514337,1.3106814836055793,0
2019-01-05,1001,58.0,27.0,15.0,4.0,19.0,7.0,2,10.99,0.0,63.5,5.41,1,150.12,2019,1,5,58.0,1,2,4,8,1,2,4,8,1.7028029170056838,-0.7991555947049378,1.7028029170056838,-0.7991555947049378,1.7028029170056838,-0.7991555947049378,0
2019-01-06,1001,41.0,72.0,34.0,9.0,1.0,5.0,2,12.12,0.0,65.0,5.57,1,189.67,2019,1,6,72.0,1,0,5,1,1,0,5,1,-3.1351623356297904,-2.023249406809265,-3.1351623356297904,-2.023249406809265,-3.1351623356297904,-2.023249406809265,0
2019-01-07,1001,130.0,52.0,21.0,8.0,20.0,8.0,2,11.73,0.0,66.58,6.08,1,184.96,2019,1,7,130.0,0,2,4,8,0,2,4,8,8.79803838233659,0.29938262257825843,8.79803838233659,0.29938262257825843,8.79803838233659,0.29938262257825843,0
2019-01-08,1001,91.0,26.0,10.0,3.0,24.0,2.0,2,8.18,0.0,81.08,6.74,1,187.04,2019,1,8,91.0,1,0,5,1,1,0,5,1,-3.143739649077574,-1.6332948109032759,-3.143739649077574,-1.6332948109032759,-3.143739649077574,-1.6332948109032759,0
2019-01-09,1001,40.0,59.0,26.0,9.0,9.0,9.0,2,8.29,0.0,74.83,6.68,1,219.83,2019,1,9,59.0,0,2,4,6,0,2,4,6,11.578799198244242,1.2813545707333103,11.578799198244242,1.2813545707333103,11.578799198244242,1.2813545707333103,0
2019-01-10,1001,108.0,75.0,34.0,12.0,3.0,6.0,2,8.58,0.0,74.46,7.02,1,235.04,2019,1,10,108.0,0,2,2,5,0,2,2,5,1.4136140521531908,-0.863580282884413,1.4136140521531908,-0.863580282884413,1.4136140521531908,-0.863580282884413,0
2019-01-11,1001,156.0,84.0,36.0,13.0,5.0,6.0,2,9.4,0.0,68.17,7.14,1,229.33,2019,1,11,156.0,0,2,2,8,0,2,2,8,3.067805172862845,0.7504795280941545,3.067805172862845,0.7504795280941545,3.067805172862845,0.7504795280941545,0
2019-01-12,1001,173.0,185.0,49.0,23.0,2.0,8.0,2,10.88,0.0,66.21,6.1,1,210.88,2019,1,12,185.0,0,2,1,9,0,2,1,9,2.212388825210809,-0.16587906203917258,2.212388825210809,-0.16587906203917258,2.212388825210809,-0.16587906203917258,0
2019-01-13,1001,271.0,219.0,32.0,14.0,23.0,2.0,2,10.79,0.0,66.79,7.48,1,207.67,2019,1,13,271.0,1,0,1,3,1,0,1,3,-1.0780898227501015,-0.5115324261929721,-1.0780898227501015,-0.5115324261929721,-1.0780898227501015,-0.5115324261929721,0
2019-01-14,1001,190.0,119.0,41.0,18.0,24.0,3.0,2,10.22,0.0,68.5,7.8,1,203.29,2019,1,14,190.0,1,0,5,1,1,0,5,1,-1.9568629649534233,-0.1294308221211873,-1.9568629649534233,-0.1294308221211873,-1.9568629649534233,-0.1294308221211873,0
2019-01-15,1001,201.0,55.0,6.0,1.0,24.0,1.0,2,8.91,0.0,61.42,9.29,1,211.71,2019,1,15,201.0,2,1,4,8,2,1,4,8,7.175993111473706,7.454380772386648,7.175993111473706,7.454380772386648,7.175993111473706,7.454380772386648,0
2019-01-16,1001,34.0,60.0,26.0,6.0,11.0,4.0,2,10.38,0.0,55.71,5.06,1,212.33,2019,1,16,60.0,2,1,3,11,2,1,3,11,4.441437903305364,4.787431189382261,4.441437903305364,4.787431189382261,4.441437903305364,4.787431189382261,0
