time,station,PM2_5,PM10,NO2,CO,O3,SO2,district_id,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,Kmeans_3,Kmeans_4,Kmeans_6,Kmeans_12,HDBSCAN_3,HDBSCAN_4,HDBSCAN_6,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,RAIN
2019-01-01,1006,109.6,43.0,18.0,6.0,18.0,4.0,3,10.62,0.0,76.33,21.26,1,178.17,2019,1,1,109.6,0,2,4,6,0,2,4,6,7.389113905910995,-3.8913818001629066,7.389113905910995,-3.8913818001629066,7.389113905910995,-3.8913818001629066,0
2019-01-02,1006,103.0,54.0,27.0,7.0,8.0,5.0,3,11.0,0.0,78.0,19.44,1,237.96,2019,1,2,103.0,1,0,1,3,1,0,1,3,0.5854023750941455,0.13919770984460206,0.5854023750941455,0.13919770984460206,0.5854023750941455,0.13919770984460206,0
2019-01-03,1006,113.0,95.0,37.0,16.0,1.0,8.0,3,14.81,0.0,83.21,14.19,1,35.88,2019,1,3,113.0,1,0,1,3,1,0,1,3,1.5915566950146496,-0.5563317729402105,1.5915566950146496,-0.5563317729402105,1.5915566950146496,-0.5563317729402105,0
2019-01-04,1006,202.0,36.0,13.0,3.0,25.0,2.0,3,17.94,0.0,81.12,11.57,1,191.21,2019,1,4,202.0,0,2,4,8,0,2,4,8,4.125084490343062,-1.889241775112765,4.125084490343062,-1.889241775112765,4.125084490343062,-1.889241775112765,0
2019-01-05,1006,67.0,33.0,19.0,3.0,16.0,3.0,3,17.52,0.0,81.88,14.84,1,222.92,2019,1,5,67.0,1,0,5,1,1,0,5,1,-2.948499313099489,-1.4424216289974738,-2.948499313099489,-1.4424216289974738,-2.948499313099489,-1.4424216289974738,0
2019-01-06,1006,74.0,73.0,28.0,9.0,4.0,5.0,3,15.93,0.0,79.92,11.7,1,91.75,2019,1,6,74.0,0,2,1,9,0,2,1,9,1.593025163314871,-1.0274943230156643,1.593025163314871,-1.0274943230156643,1.593025163314871,-1.0274943230156643,0
2019-01-07,1006,156.0,46.0,19.0,6.0,20.0,3.0,3,17.74,0.0,83.79,10.71,1,154.67,2019,1,7,156.0,0,2,2,9,0,2,2,9,7.940221616581016,-0.8474324040766815,7.940221616581016,-0.8474324040766815,7.940221616581016,-0.8474324040766815,0
2019-01-08,1006,94.0,19.0,10.0,1.0,26.0,1.0,3,16.28,0.0,80.46,15.65,1,129.0,2019,1,8,94.0,0,2,2,9,0,2,2,9,5.7587490767565255,0.0982164390793372,5.7587490767565255,0.0982164390793372,5.7587490767565255,0.0982164390793372,0
2019-01-09,1006,33.0,52.0,30.0,7.0,7.0,4.0,3,17.65,0.0,83.38,12.3,1,59.75,2019,1,9,52.0,1,0,5,1,1,0,5,1,-3.9805793487117835,-1.2744458706567516,-3.9805793487117835,-1.2744458706567516,-3.9805793487117835,-1.2744458706567516,0
2019-01-10,1006,110.0,76.0,33.0,11.0,14.0,5.0,3,18.65,0.0,86.5,8.21,1,49.92,2019,1,10,110.0,0,2,4,8,0,2,4,8,6.074588260693848,-0.6460533564768047,6.074588260693848,-0.6460533564768047,6.074588260693848,-0.6460533564768047,0
