time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,1003,74.6,56.0,21.0,6.0,19.0,5.0,0,0,2,2,4,4,8,8,2.316014613637496,-2.1310163965414053,8.838531,-4.8431635,92.1748,36.772877,1,2019-01-01,-5.24,0.0,31.322857142857142,8.214285714285714,1.0,225.13714285714286,2019,1,1,74.6,0,China_1003.csv
2019-01-02,1003,124.0,49.0,24.0,7.0,9.0,5.0,0,0,2,2,4,4,8,8,4.214687161874259,-2.993201288050748,9.141775,-4.8079247,98.811195,24.173563,1,2019-01-02,-5.3999999999999995,0.0,36.47,6.168571428571428,1.0,145.97571428571428,2019,1,2,124.0,0,China_1003.csv
2019-01-03,1003,110.0,95.0,36.0,15.0,4.0,10.0,0,0,2,2,4,4,6,6,11.82609523587884,-2.5067089206287023,9.484205,-5.611225,104.59207,37.2015,1,2019-01-03,-3.698571428571429,0.0,35.605714285714285,10.12142857142857,1.0,135.75,2019,1,3,110.0,0,China_1003.csv
2019-01-04,1003,199.0,44.0,15.0,6.0,25.0,3.0,0,0,2,2,1,1,9,9,3.4954654324993495,-0.5268477632874267,9.2412615,-2.1076274,63.01097,9.291117,1,2019-01-04,-3.9985714285714287,0.0,18.21857142857143,13.754285714285714,1.0,165.63714285714286,2019,1,4,199.0,0,China_1003.csv
2019-01-05,1003,75.0,37.0,18.0,5.0,16.0,2.0,1,1,0,0,5,5,5,5,0.33914485487972656,-2.9890168306397866,8.692075,3.8549013,24.665829,-48.631023,1,2019-01-05,-4.307142857142857,0.0,18.3,6.588571428571429,1.0,141.49571428571429,2019,1,5,75.0,0,China_1003.csv
2019-01-06,1003,75.0,68.0,28.0,9.0,6.0,5.0,0,0,2,2,4,4,8,8,5.101108836486581,-3.5752876777147624,9.321081,-4.9136324,97.15648,29.318928,1,2019-01-06,-4.910000000000001,0.0,26.5,7.867142857142857,1.0,184.29285714285714,2019,1,6,75.0,0,China_1003.csv
2019-01-07,1003,150.0,53.0,22.0,4.0,19.0,4.0,0,0,2,2,4,4,8,8,2.739378193234575,-2.0683589479045583,8.750622,-3.0444245,68.23776,11.4904,1,2019-01-07,-3.4857142857142853,0.0,23.172857142857143,11.178571428571429,1.0,136.4414285714286,2019,1,7,150.0,0,China_1003.csv
2019-01-08,1003,119.0,19.0,4.0,2.0,28.0,1.4,1,1,0,0,1,1,3,3,-2.7348655736107186,-0.715632748230128,11.596614,7.5479207,-9.18512,-32.96087,1,2019-01-08,-4.687142857142858,0.0,21.642857142857142,8.557142857142857,1.0,218.38714285714286,2019,1,8,119.0,0,China_1003.csv
2019-01-09,1003,25.0,50.0,21.0,6.0,13.0,3.0,1,1,0,0,5,5,5,5,0.6617905414087316,-3.487365218308934,8.577028,-3.0624619,77.108826,20.312693,1,2019-01-09,-4.744285714285715,0.0,25.33142857142857,7.255714285714285,1.0,205.65285714285713,2019,1,9,50.0,0,China_1003.csv
2019-01-10,1003,104.0,77.0,30.0,10.0,11.0,6.0,0,0,2,2,4,4,6,6,6.944790970307883,-2.719303482149929,9.430788,-5.1969466,101.20353,32.50499,1,2019-01-10,-2.0285714285714285,0.0,32.72571428571429,6.234285714285714,1.0,210.47714285714284,2019,1,10,104.0,0,China_1003.csv
2019-01-11,1003,167.0,93.0,39.0,14.0,8.0,9.0,0,0,2,2,4,4,6,6,12.700986841870444,-2.3492348539180474,9.596097,-5.4966526,104.851845,35.695168,1,2019-01-11,-1.957142857142857,0.0,42.12428571428571,6.204285714285715,1.0,184.82571428571427,2019,1,11,167.0,0,China_1003.csv
2019-01-12,1003,187.0,170.0,43.0,20.0,6.0,6.0,0,0,2,2,4,4,7,7,17.459268197199528,-1.4812047344627084,10.713132,-3.2726414,99.00788,-4.217793,1,2019-01-12,-2.3685714285714288,0.0,47.13142857142857,8.2,1.0,192.3742857142857,2019,1,12,187.0,0,China_1003.csv
2019-01-13,1003,276.0,218.0,26.0,15.0,27.0,1.0,0,0,2,2,2,2,7,7,13.916179116683026,2.444707999856061,11.641568,-1.1947124,90.33971,-14.898595,1,2019-01-13,-1.49,0.0,32.607142857142854,7.765714285714286,1.0,149.06571428571428,2019,1,13,276.0,0,China_1003.csv
2019-01-14,1003,218.0,78.0,30.0,11.0,21.0,4.0,0,0,2,2,4,4,7,7,9.520108470703384,-1.2011860395259883,10.292827,-2.6851757,96.777596,8.144996,1,2019-01-14,-2.025714285714286,0.0,26.87,18.52285714285714,1.0,276.6042857142857,2019,1,14,218.0,0,China_1003.csv
2019-01-15,1003,150.0,37.0,6.0,3.0,27.0,4.0,1,1,0,0,1,1,8,8,-0.34254282534689107,0.057701594959085174,8.43477,-3.9472356,84.514435,27.461432,1,2019-01-15,-6.297142857142857,0.0,13.167142857142858,12.40857142857143,1.0,281.0414285714286,2019,1,15,150.0,0,China_1003.csv
2019-01-16,1003,29.0,45.0,16.0,5.0,18.0,2.0,1,1,0,0,5,5,5,5,-0.8105492357542673,-2.807665175718969,8.050972,3.989211,22.571531,-59.724197,1,2019-01-16,-3.4400000000000004,0.0,11.494285714285713,9.095714285714285,1.0,196.82571428571427,2019,1,16,45.0,0,China_1003.csv
2019-01-17,1003,91.0,54.0,26.0,6.0,12.0,5.0,0,0,2,2,4,4,8,8,3.3423180320635018,-3.212321764049491,9.0832405,-4.826167,98.849304,24.613756,1,2019-01-17,-1.827142857142857,0.0,13.927142857142856,7.838571428571428,1.0,190.20285714285714,2019,1,17,91.0,0,China_1003.csv
2019-01-18,1003,122.0,68.0,33.0,10.0,5.0,6.0,0,0,2,2,4,4,6,6,7.606466204970233,-3.5962103111678063,9.447083,-5.1452427,101.51552,32.0636,1,2019-01-18,-0.22428571428571428,0.0,20.595714285714287,9.768571428571429,1.0,153.07,2019,1,18,122.0,0,China_1003.csv
2019-01-19,1003,143.0,34.0,13.0,4.0,25.0,2.0,1,1,0,0,1,1,3,3,0.5287139556650758,-1.2588064877581806,10.86256,4.739772,20.11727,-23.52626,1,2019-01-19,-0.23285714285714285,0.0,28.58857142857143,12.98,1.0,137.32714285714286,2019,1,19,143.0,0,China_1003.csv
