time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,2008,341.0,399.0,22.0,26.0,35.0,11.0,1,1,0,0,1,1,2,2,11.955116068231016,1.5856808202489907,8.438185,11.040136,103.11454,-5.628982,4,2019-01-01,13.001666666666667,0.0,72.72166666666666,6.843333333333334,1.0,186.34,2019,1,1,399.0,0,India_2008.csv
2019-01-02,2008,353.0,435.0,21.0,27.0,37.0,11.0,1,1,0,0,1,1,2,2,12.915123082304985,1.839654568806878,8.381525,11.209361,103.0914,-5.466572,4,2019-01-02,14.146666666666667,0.0,71.11833333333334,6.398333333333333,1.0,182.14499999999998,2019,1,2,435.0,0,India_2008.csv
2019-01-03,2008,398.0,369.0,27.0,11.0,22.0,8.0,1,1,0,0,1,1,2,2,9.690285802669655,2.149753618446595,7.733908,10.879594,99.7234,-12.055919,4,2019-01-03,13.301666666666668,0.0,70.05833333333334,10.398333333333333,1.0,297.85499999999996,2019,1,3,398.0,0,India_2008.csv
2019-01-04,2008,373.0,297.0,27.0,10.0,21.0,10.0,1,1,0,0,1,1,5,5,7.86496738016453,2.2256091007960017,7.7054267,10.5801935,96.18135,-13.705739,4,2019-01-04,12.631666666666666,0.0,71.68833333333333,7.341666666666666,1.0,217.885,2019,1,4,373.0,0,India_2008.csv
2019-01-05,2008,319.0,336.0,23.0,5.0,20.0,9.0,1,1,0,0,1,1,5,5,6.1703262086265065,2.7753041364979523,7.9423027,10.087693,95.05113,-11.703523,4,2019-01-05,13.743333333333334,0.0,68.46,11.638333333333334,1.0,127.63499999999999,2019,1,5,336.0,0,India_2008.csv
2019-01-06,2008,336.0,187.0,26.0,13.2,6.0,8.0,1,1,0,0,1,1,5,5,5.736674602240537,-1.1327882623231826,7.122936,9.6647,79.72107,-36.256058,4,2019-01-06,12.61,0.0,80.89,8.663333333333332,1.0,152.41166666666666,2019,1,6,336.0,0,India_2008.csv
2019-01-07,2008,261.0,158.0,22.0,8.2,6.0,8.0,1,1,0,0,0,0,5,5,2.566082596496708,-0.6435110439336158,6.991691,8.139668,63.508984,-39.76899,4,2019-01-07,12.373333333333333,0.0,77.03333333333333,9.048333333333334,1.0,316.08833333333337,2019,1,7,261.0,0,India_2008.csv
2019-01-08,2008,235.0,155.0,22.0,13.4,7.0,10.0,1,1,0,0,0,0,5,5,3.120695054759982,-1.0974098969031434,7.705594,8.027168,60.492893,-40.01602,4,2019-01-08,12.231666666666667,0.0,75.845,10.916666666666666,1.0,290.465,2019,1,8,235.0,0,India_2008.csv
2019-01-09,2008,247.0,144.0,23.0,14.8,9.0,11.0,1,1,0,0,0,0,5,5,3.558025344679551,-0.9086404822507091,7.669533,8.097493,60.499344,-39.85215,4,2019-01-09,12.323333333333332,0.0,69.45666666666666,12.728333333333333,1.0,288.1116666666667,2019,1,9,247.0,0,India_2008.csv
2019-01-10,2008,192.0,253.0,26.0,13.2,10.0,14.0,1,1,0,0,0,0,5,5,4.289816394853139,0.539836972453,9.248456,8.18272,47.526424,18.00313,4,2019-01-10,12.626666666666667,0.0,67.28666666666668,7.705000000000001,1.0,212.33,2019,1,10,253.0,0,India_2008.csv
2019-01-11,2008,247.0,347.0,38.0,16.0,7.0,15.0,1,1,0,0,1,1,2,2,8.30254706672638,0.6386574523134749,8.872271,10.415691,88.1475,0.8361259,4,2019-01-11,13.719999999999999,0.0,66.585,4.215,1.0,122.585,2019,1,11,347.0,0,India_2008.csv
2019-01-12,2008,328.0,483.0,25.0,16.6,7.0,9.0,1,1,0,0,1,1,2,2,11.070704388272969,0.015588455465819093,8.145175,11.285133,96.825165,-2.8521972,4,2019-01-12,13.549999999999999,0.0,72.535,6.501666666666666,1.0,179.92333333333332,2019,1,12,483.0,0,India_2008.csv
2019-01-13,2008,470.0,244.0,30.0,21.0,11.0,10.0,1,1,0,0,1,1,5,5,11.107924243692649,-0.8012273403029226,7.298974,10.60981,95.722336,-27.515993,4,2019-01-13,14.558333333333332,0.0,72.64166666666667,9.026666666666666,1.0,232.5,2019,1,13,470.0,0,India_2008.csv
2019-01-14,2008,295.0,122.0,19.0,14.4,8.0,9.0,1,1,0,0,0,0,5,5,3.659142738665082,-1.3897460130566468,7.0090694,9.100669,76.58792,-37.751995,4,2019-01-14,11.950000000000001,0.0,55.30833333333334,15.416666666666666,1.0,297.15000000000003,2019,1,14,295.0,0,India_2008.csv
2019-01-15,2008,176.0,154.0,21.0,20.4,10.0,12.0,1,1,0,0,0,0,1,1,3.406490914704752,-1.7345042406008215,9.258017,7.6374216,45.34849,22.343088,4,2019-01-15,11.233333333333334,0.0,63.083333333333336,11.166666666666666,1.0,287.4016666666667,2019,1,15,176.0,0,India_2008.csv
2019-01-16,2008,195.0,356.0,28.0,21.0,9.0,13.0,1,1,0,0,1,1,2,2,7.723950819355525,-0.6378168693134807,8.776404,10.3060255,87.47586,6.3483357,4,2019-01-16,12.136666666666665,0.0,68.33166666666666,5.585,1.0,145.68833333333333,2019,1,16,356.0,0,India_2008.csv
2019-01-17,2008,334.0,465.0,29.0,17.4,12.0,11.0,1,1,0,0,1,1,2,2,11.4409391098128,0.842138940361572,8.202103,11.304635,96.992386,-2.6629348,4,2019-01-17,12.475,0.0,74.44166666666666,7.6866666666666665,1.0,321.12166666666667,2019,1,17,465.0,0,India_2008.csv
