time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,4005,86.4,38.0,3.0,4.0,18.0,20.0,2,2,1,1,1,1,4,4,1.2325893931456897,-2.3766225570792443,3.5944488,-2.5566065,26.607569,-74.25329,21,2019-01-01,21.2975,0.0,79.595,12.22625,1.0,169.41875,2019,1,1,86.4,0,Peru_4005.csv
2019-01-02,4005,87.0,31.0,3.8,4.0,17.0,19.0,2,2,1,1,1,1,4,4,0.7915685141732125,-2.444285358738898,3.6034484,-2.4571452,26.247728,-74.051414,21,2019-01-02,21.60875,0.0,77.335,12.69375,1.0,172.34875,2019,1,2,87.0,0,Peru_4005.csv
2019-01-03,4005,97.6,29.0,5.0,4.0,16.0,20.0,2,2,1,1,4,4,4,4,1.3505300129009277,-1.814940902907046,3.5869832,-2.4891474,25.787882,-74.25779,21,2019-01-03,21.30875,0.0,78.94375,10.72375,1.0,202.5525,2019,1,3,97.6,0,Peru_4005.csv
2019-01-04,4005,75.2,31.0,11.0,13.2,11.8,4.4,2,2,1,1,4,4,9,9,-0.5281647815451772,-0.19478337919017313,4.3974404,1.3266151,2.4256976,-21.045307,21,2019-01-04,22.26375,0.0,76.16875,9.997499999999999,1.0,205.41625,2019,1,4,75.2,0,Peru_4005.csv
2019-01-05,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,18.612572,0.7072412,-13.194237,61.20619,21,2019-01-05,22.585,0.0,76.06875,10.78125,1.0,185.3375,2019,1,5,76.26329315845445,0,Peru_4005.csv
2019-01-06,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,19.132278,0.8837791,-13.194237,61.20619,21,2019-01-06,22.009999999999998,0.0,76.27125,8.8225,1.0,185.635,2019,1,6,76.26329315845445,0,Peru_4005.csv
2019-01-07,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,18.60566,0.3319587,-13.194237,61.20619,21,2019-01-07,22.4225,0.0,73.56875,8.22875,1.0,195.9275,2019,1,7,76.26329315845445,0,Peru_4005.csv
2019-01-08,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,19.86297,-0.03449047,-13.194237,61.20619,21,2019-01-08,22.42375,0.0,78.25,9.81875,1.0,182.605,2019,1,8,76.26329315845445,0,Peru_4005.csv
2019-01-09,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,18.613367,-0.7710501,-13.194237,61.20619,21,2019-01-09,23.865,0.0,70.95375,11.1375,1.0,171.19625000000002,2019,1,9,76.26329315845445,0,Peru_4005.csv
2019-01-10,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,19.30479,0.16946556,-13.194237,61.20619,21,2019-01-10,23.17125,0.0,74.9,11.0625,1.0,178.02,2019,1,10,76.26329315845445,0,Peru_4005.csv
2019-01-11,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,18.750252,-0.58196074,-13.194237,61.20619,21,2019-01-11,23.5825,0.0,70.16625,10.42375,1.0,172.10375,2019,1,11,76.26329315845445,0,Peru_4005.csv
2019-01-12,4005,76.26329315845445,39.0951871657754,11.939310035171744,12.942866095675788,8.522758485383559,9.978580024067387,2,2,1,1,4,4,9,9,0.03549621024003731,-0.08868490030010638,18.53759,0.3647879,-13.194237,61.20619,21,2019-01-12,23.526249999999997,0.0,74.94125,14.2225,1.0,170.50125,2019,1,12,76.26329315845445,0,Peru_4005.csv
