time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,3006,28.0,9.0,8.0,2.8,31.0,5.8,0,0,3,3,1,1,1,1,-1.6986566913811654,-2.929475104938639,14.962263,-6.147695,-55.460445,-72.427826,15,2019-01-01,10.84,0.0,23.67,14.18,1.0,93.96,2019,1,1,31.0,0,USA_3006.csv
2019-01-02,3006,13.0,6.0,2.0,1.4,32.0,9.4,0,0,2,2,3,3,0,0,-6.824753901759457,-1.6323018042574222,16.616997,-7.557919,-80.847145,-65.849365,15,2019-01-02,8.93,0.0,52.33,6.26,1.0,115.83,2019,1,2,32.0,0,USA_3006.csv
2019-01-03,3006,15.0,11.0,14.0,4.6,29.0,1.0,0,0,3,3,5,5,1,1,2.3929817997764373,-5.263662368938227,9.992702,-0.89378285,72.182724,-63.43625,15,2019-01-03,9.69,0.0,57.71,6.33,1.0,118.5,2019,1,3,29.0,0,USA_3006.csv
2019-01-04,3006,38.0,16.0,18.0,5.8,26.0,1.2,1,1,0,0,5,5,6,6,6.716305443795434,-6.253824743999983,11.553144,-1.0663351,84.53089,-51.752563,15,2019-01-04,10.47,0.0,57.71,6.47,1.0,133.54,2019,1,4,38.0,0,USA_3006.csv
2019-01-05,3006,32.0,25.0,22.0,4.6,27.0,6.6,1,1,0,0,5,5,6,6,5.897372852622853,-5.5168651766652985,11.147067,-1.0771737,64.4735,-55.92385,15,2019-01-05,11.21,0.0,65.58,6.64,1.0,119.79,2019,1,5,32.0,0,USA_3006.csv
2019-01-06,3006,34.0,8.0,4.0,1.4,30.0,3.2,0,0,3,3,1,1,7,7,-4.080679195546242,-1.9336249661040135,5.4826336,-0.33129838,-66.30988,-9.546428,15,2019-01-06,10.43,0.0,88.58,6.52,1.0,131.33,2019,1,6,34.0,0,USA_3006.csv
2019-01-07,3006,16.0,8.0,6.0,1.8,26.0,1.2,0,0,3,3,1,1,7,7,-3.7654901355803263,-3.618869370126772,3.2137854,5.4020877,-16.733335,-85.33477,15,2019-01-07,12.85,0.0,87.71,11.08,1.0,134.75,2019,1,7,26.0,0,USA_3006.csv
2019-01-08,3006,18.0,10.0,10.0,2.4,28.0,1.0,0,0,3,3,1,1,1,1,-1.5030916343251415,-3.882770316191647,4.8637643,2.6628332,3.0299392,-72.57019,15,2019-01-08,12.78,0.0,81.75,7.68,1.0,78.58,2019,1,8,28.0,0,USA_3006.csv
2019-01-09,3006,16.0,15.0,12.0,3.0,27.0,1.0,0,0,3,3,1,1,1,1,0.01900491887007662,-4.41430063017052,6.7525644,1.613333,27.948694,-70.93536,15,2019-01-09,12.35,0.0,83.21,5.52,1.0,127.04,2019,1,9,27.0,0,USA_3006.csv
2019-01-10,3006,25.0,13.0,8.0,2.8,26.0,1.4,0,0,3,3,1,1,1,1,-1.1203083920138757,-3.911541847348015,6.2343025,1.5965533,21.779789,-83.08703,15,2019-01-10,11.35,0.0,85.96,5.61,1.0,140.25,2019,1,10,26.0,0,USA_3006.csv
2019-01-11,3006,19.0,29.0,18.0,4.8,21.0,1.2,1,1,0,0,5,5,6,6,5.016594224261281,-6.494018193336317,10.479633,-0.6142306,64.87934,-64.8254,15,2019-01-11,11.48,0.0,89.29,7.78,1.0,104.17,2019,1,11,29.0,0,USA_3006.csv
2019-01-12,3006,16.0,5.0,3.0,1.0,28.0,9.4,0,0,2,2,3,3,0,0,-6.912231636950756,-2.3889510002506795,16.637577,-7.448977,-79.59142,-66.30132,15,2019-01-12,12.31,0.0,83.88,11.55,1.0,101.25,2019,1,12,28.0,0,USA_3006.csv
2019-01-13,3006,29.6,6.0,10.0,2.0,27.0,6.6,0,0,3,3,1,1,0,0,-2.2663129466681875,-3.742138859263662,14.979207,-6.2237244,-56.336132,-72.05615,15,2019-01-13,10.13,0.0,81.5,10.69,1.0,87.54,2019,1,13,29.6,0,USA_3006.csv
2019-01-14,3006,20.4,6.0,6.0,1.6,26.0,1.6,0,0,3,3,1,1,7,7,-3.9174469261910785,-3.5319532469906245,3.268742,5.4598446,-16.006401,-84.983185,15,2019-01-14,11.54,0.0,72.58,20.5,1.0,85.79,2019,1,14,26.0,0,USA_3006.csv
2019-01-15,3006,20.4,6.0,6.0,1.6,29.0,15.6,0,0,2,2,3,3,0,0,-5.704028143437459,-2.5758202333727556,15.732554,-7.152732,-76.60744,-54.273327,15,2019-01-15,10.08,0.0,85.92,15.73,1.0,80.62,2019,1,15,29.0,0,USA_3006.csv
2019-01-16,3006,20.0,3.0,8.0,2.0,20.0,1.2,0,0,3,3,1,1,1,1,-2.9505228814163758,-5.397326483064085,3.9550703,4.8750706,-9.244743,-80.786385,15,2019-01-16,12.68,0.0,88.75,13.61,1.0,77.0,2019,1,16,20.0,0,USA_3006.csv
2019-01-17,3006,19.0,11.0,2.0,1.2,25.0,1.2,0,0,3,3,1,1,7,7,-5.440553876170807,-2.7895817134131953,3.8306398,9.436835,-89.7395,0.55011487,15,2019-01-17,14.68,0.0,97.58,15.47,1.0,189.62,2019,1,17,25.0,0,USA_3006.csv
2019-01-18,3006,14.0,16.0,7.0,2.6,27.0,1.0,0,0,3,3,1,1,1,1,-2.110267950900051,-3.548304841629317,5.590466,1.6003001,19.091364,-87.52924,15,2019-01-18,13.0,0.0,88.92,7.4,1.0,227.33,2019,1,18,27.0,0,USA_3006.csv
2019-01-19,3006,19.0,6.0,2.0,1.0,31.0,19.4,0,0,2,2,3,3,4,4,-8.26879420825259,-1.2846197971388533,11.366628,-7.9761543,-111.16965,-16.803476,15,2019-01-19,12.22,0.0,80.08,4.96,1.0,106.71,2019,1,19,31.0,0,USA_3006.csv
2019-01-20,3006,14.0,6.0,7.0,1.6,22.0,1.6,0,0,3,3,1,1,7,7,-3.997946480829612,-4.613999735185021,3.5227525,5.406875,-13.692005,-82.99338,15,2019-01-20,13.35,0.0,72.42,6.17,1.0,115.25,2019,1,20,22.0,0,USA_3006.csv
2019-01-21,3006,21.0,7.0,4.0,1.2,33.0,1.0,0,0,3,3,1,1,7,7,-4.845055826643602,-1.5873559351123738,3.186297,10.004536,-80.79896,-14.631973,15,2019-01-21,13.54,0.0,68.71,20.87,1.0,284.08,2019,1,21,33.0,0,USA_3006.csv
2019-01-22,3006,15.0,7.0,5.0,2.0,31.0,9.4,0,0,2,2,3,3,0,0,-4.968671948089747,-2.4284501371346474,15.77396,-7.952546,-78.427925,-75.48678,15,2019-01-22,10.75,0.0,63.04,10.9,1.0,231.0,2019,1,22,31.0,0,USA_3006.csv
2019-01-23,3006,17.0,9.0,8.0,2.2,29.0,1.0,0,0,3,3,1,1,1,1,-2.4859201545348495,-3.3899751721834073,3.8259442,3.3271098,0.8652595,-81.658485,15,2019-01-23,10.34,0.0,63.75,7.13,1.0,152.92,2019,1,23,29.0,0,USA_3006.csv
2019-01-24,3006,15.0,5.0,1.0,1.0,34.0,19.0,0,0,2,2,3,3,4,4,-8.801393323395164,-0.6782198225859971,11.081692,-8.075893,-113.688995,-19.68161,15,2019-01-24,11.81,0.0,67.96,4.17,1.0,123.25,2019,1,24,34.0,0,USA_3006.csv
2019-01-25,3006,15.0,3.0,1.0,1.0,33.0,19.0,0,0,2,2,3,3,4,4,-8.912360967127551,-0.9897214754048739,11.053604,-8.084459,-113.78192,-19.350521,15,2019-01-25,12.36,0.0,68.79,5.1,1.0,85.29,2019,1,25,33.0,0,USA_3006.csv
2019-01-26,3006,7.0,13.0,1.0,1.0,36.0,1.0,0,0,3,3,1,1,7,7,-6.517876953758762,-0.43945904483917525,4.4654574,10.648476,-95.02738,21.95158,15,2019-01-26,13.56,0.0,63.96,5.97,1.0,106.25,2019,1,26,36.0,0,USA_3006.csv
2019-01-27,3006,14.0,11.8,6.0,1.8,32.0,9.4,0,0,2,2,3,3,0,0,-4.706088516769855,-2.0254355925783174,15.852275,-7.8229227,-79.87334,-75.59775,15,2019-01-27,14.67,0.0,64.42,5.74,1.0,126.21,2019,1,27,32.0,0,USA_3006.csv
2019-01-28,3006,12.0,13.6,16.0,4.2,24.0,1.2,0,0,3,3,5,5,1,1,2.428305287588503,-6.282226856259768,9.612002,-0.53848225,58.57372,-64.34131,15,2019-01-28,13.39,0.0,70.33,5.1,1.0,133.71,2019,1,28,24.0,0,USA_3006.csv
2019-01-29,3006,23.0,25.0,14.0,3.6,30.0,1.2,0,0,3,3,5,5,1,1,2.3251828841301356,-3.674459979765227,9.544445,0.35934037,48.25252,-54.52586,15,2019-01-29,13.58,0.0,78.0,4.26,1.0,167.21,2019,1,29,30.0,0,USA_3006.csv
2019-01-30,3006,34.0,30.0,12.0,3.2,27.0,1.8,0,0,3,3,5,5,1,1,2.0120594454451095,-3.3362830109173935,7.8702626,2.0440474,32.08343,-54.171753,15,2019-01-30,12.55,0.0,83.5,5.75,1.0,146.33,2019,1,30,34.0,0,USA_3006.csv
2019-01-31,3006,49.0,22.0,10.0,2.6,25.0,1.2,0,0,3,3,5,5,1,1,1.151515301851972,-3.3355049734781312,8.31983,2.7472162,34.291702,-42.121292,15,2019-01-31,12.72,0.0,91.62,9.0,1.0,91.75,2019,1,31,49.0,0,USA_3006.csv
2019-02-01,3006,33.0,9.0,9.0,2.8,26.0,5.4,0,0,3,3,1,1,1,1,-1.0677263829232317,-3.999334809232774,14.936114,-6.1272964,-55.222225,-72.553276,15,2019-02-01,11.53,0.0,79.42,8.28,1.0,97.79,2019,2,1,33.0,0,USA_3006.csv
2019-02-02,3006,17.0,5.0,1.0,1.2,32.0,29.0,0,0,2,2,3,3,4,4,-9.730331071338522,-0.902175741541103,8.084782,-6.555065,-117.3228,25.60886,15,2019-02-02,12.64,0.0,93.62,17.05,1.0,128.04,2019,2,2,32.0,0,USA_3006.csv
2019-02-03,3006,9.0,5.0,1.0,1.2,32.0,19.0,0,0,2,2,3,3,4,4,-8.910168483357687,-1.3043460384133863,11.031017,-8.067577,-114.86663,-19.023846,15,2019-02-03,11.68,0.0,90.38,10.78,1.0,202.08,2019,2,3,32.0,0,USA_3006.csv
2019-02-04,3006,7.0,5.0,1.0,1.2,33.0,19.0,0,0,2,2,3,3,4,4,-9.021852815045884,-1.1387406630512698,11.030176,-8.075938,-114.86349,-19.497616,15,2019-02-04,11.61,0.0,90.04,10.1,1.0,160.92,2019,2,4,33.0,0,USA_3006.csv
2019-02-05,3006,12.0,5.0,3.0,1.0,33.0,19.0,0,0,2,2,3,3,4,4,-8.355998674084786,-1.2083509366455079,11.138743,-7.875499,-116.710655,-20.178055,15,2019-02-05,10.63,0.0,74.71,18.79,1.0,272.67,2019,2,5,33.0,0,USA_3006.csv
2019-02-06,3006,11.0,5.0,9.0,2.4,33.0,28.6,0,0,2,2,3,3,4,4,-6.015709223229861,-2.457943193394068,8.515987,-6.8771935,-110.99817,22.939095,15,2019-02-06,8.03,0.0,65.38,12.44,1.0,272.71,2019,2,6,33.0,0,USA_3006.csv
2019-02-07,3006,15.0,7.0,10.0,2.2,34.0,19.0,0,0,2,2,3,3,4,4,-4.37457953709747,-2.3364962666464164,11.812391,-7.050419,-110.60292,-1.2331203,15,2019-02-07,7.8,0.0,66.29,11.03,1.0,111.83,2019,2,7,34.0,0,USA_3006.csv
2019-02-08,3006,17.0,12.0,13.0,2.4,34.0,1.0,0,0,3,3,1,1,1,1,-0.4875837699692186,-2.960914788024519,5.0680194,2.6016378,9.650589,-71.04421,15,2019-02-08,8.23,0.0,74.71,6.93,1.0,141.33,2019,2,8,34.0,0,USA_3006.csv
2019-02-09,3006,22.0,7.0,4.0,1.2,34.0,2.6,0,0,3,3,1,1,7,7,-4.987643545707006,-1.323095577291986,4.391478,8.426703,-76.38599,-6.742099,15,2019-02-09,9.49,0.0,80.71,9.15,1.0,162.54,2019,2,9,34.0,0,USA_3006.csv
