time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,1000,146.6,46.0,20.0,9.0,17.0,5.0,0,0,2,2,4,4,8,8,5.168482505268606,-1.5389478174040023,9.3669405,-4.708104,98.30168,21.969185,1,2019-01-01,-5.24,0.0,31.322857142857142,8.214285714285714,1.0,225.13714285714286,2019,1,1,146.6,0,China_1000.csv
2019-01-02,1000,116.0,54.0,27.0,11.0,9.0,7.0,0,0,2,2,4,4,6,6,7.163893358048177,-2.5954963649230236,9.418384,-5.2898483,102.09342,34.379677,1,2019-01-02,-5.3999999999999995,0.0,36.47,6.168571428571428,1.0,145.97571428571428,2019,1,2,116.0,0,China_1000.csv
2019-01-03,1000,118.0,100.0,42.0,21.0,5.0,14.0,0,0,2,2,4,4,6,6,17.095492749559195,-1.7056438403917313,9.460764,-5.6879544,105.08913,38.598217,1,2019-01-03,-3.698571428571429,0.0,35.605714285714285,10.12142857142857,1.0,135.75,2019,1,3,118.0,0,China_1000.csv
2019-01-04,1000,204.0,42.0,11.0,6.0,27.0,2.0,0,0,2,2,1,1,9,9,2.7650775254233984,-0.07288766498075783,12.168653,4.2561293,22.663628,-28.80912,1,2019-01-04,-3.9985714285714287,0.0,18.21857142857143,13.754285714285714,1.0,165.63714285714286,2019,1,4,204.0,0,China_1000.csv
2019-01-05,1000,63.0,28.0,15.0,5.0,22.0,7.0,1,1,0,0,4,4,6,6,0.6873565557359177,-1.5083825055993982,8.396857,-5.2622733,95.435326,42.653908,1,2019-01-05,-4.307142857142857,0.0,18.3,6.588571428571429,1.0,141.49571428571429,2019,1,5,63.0,0,China_1000.csv
2019-01-06,1000,52.0,73.0,34.0,12.0,6.0,6.0,0,0,2,2,4,4,6,6,7.389113905911003,-3.8913818001629146,9.428207,-5.078906,97.61779,31.667742,1,2019-01-06,-4.910000000000001,0.0,26.5,7.867142857142857,1.0,184.29285714285714,2019,1,6,73.0,0,China_1000.csv
2019-01-07,1000,147.0,51.0,21.0,9.0,24.0,9.0,0,0,2,2,4,4,6,6,6.356888694828885,-0.25616472488503245,8.839963,-5.3202186,98.05609,40.641815,1,2019-01-07,-3.4857142857142853,0.0,23.172857142857143,11.178571428571429,1.0,136.4414285714286,2019,1,7,147.0,0,China_1000.csv
2019-01-08,1000,95.0,27.0,11.0,3.0,27.0,2.0,1,1,0,0,1,1,3,3,-1.442017599362065,-1.4387939163996584,10.13263,7.412535,1.4091933,-4.3383794,1,2019-01-08,-4.687142857142858,0.0,21.642857142857142,8.557142857142857,1.0,218.38714285714286,2019,1,8,95.0,0,China_1000.csv
2019-01-09,1000,50.0,61.0,27.0,7.0,14.0,10.0,0,0,2,2,4,4,6,6,4.423741626451841,-2.3897930090254267,9.288837,-5.561221,102.964485,37.90992,1,2019-01-09,-4.744285714285715,0.0,25.33142857142857,7.255714285714285,1.0,205.65285714285713,2019,1,9,61.0,0,China_1000.csv
2019-01-10,1000,121.0,83.0,37.0,12.0,7.0,8.0,0,0,2,2,4,4,6,6,9.948168359854492,-3.092205511617834,9.59239,-5.487131,104.43253,35.40723,1,2019-01-10,-2.0285714285714285,0.0,32.72571428571429,6.234285714285714,1.0,210.47714285714284,2019,1,10,121.0,0,China_1000.csv
2019-01-11,1000,166.0,91.0,38.0,14.0,10.0,8.0,0,0,2,2,4,4,6,6,12.273498770528198,-2.276242808452968,9.617416,-5.471157,104.851456,35.078846,1,2019-01-11,-1.957142857142857,0.0,42.12428571428571,6.204285714285715,1.0,184.82571428571427,2019,1,11,166.0,0,China_1000.csv
2019-01-12,1000,186.0,192.0,53.0,25.0,7.0,9.0,0,0,2,2,4,4,6,6,22.616647227424952,-1.170332033712605,10.653079,-3.5671763,100.268684,-4.7318444,1,2019-01-12,-2.3685714285714288,0.0,47.13142857142857,8.2,1.0,192.3742857142857,2019,1,12,192.0,0,China_1000.csv
2019-01-13,1000,282.0,210.0,33.0,16.0,28.0,3.0,0,0,2,2,2,2,7,7,15.932459505177585,2.0978044822995408,11.54701,-1.3399022,90.24591,-14.700831,1,2019-01-13,-1.49,0.0,32.607142857142854,7.765714285714286,1.0,149.06571428571428,2019,1,13,282.0,0,China_1000.csv
2019-01-14,1000,201.0,123.0,43.0,19.0,24.0,5.0,0,0,2,2,4,4,7,7,16.277745843154168,-0.8540542421852652,10.745695,-2.884195,97.468094,-3.8650227,1,2019-01-14,-2.025714285714286,0.0,26.87,18.52285714285714,1.0,276.6042857142857,2019,1,14,201.0,0,China_1000.csv
2019-01-15,1000,207.0,62.0,6.0,3.0,24.0,1.0,1,1,0,0,1,1,3,3,0.5854023750941467,0.13919770984460242,12.65928,4.7839327,20.037842,-32.837032,1,2019-01-15,-6.297142857142857,0.0,13.167142857142858,12.40857142857143,1.0,281.0414285714286,2019,1,15,207.0,0,China_1000.csv
2019-01-16,1000,42.0,61.0,26.0,7.0,13.0,5.0,0,0,2,2,4,4,8,8,2.93255731704617,-3.291281766898674,9.14684,-4.9346814,94.51667,31.029339,1,2019-01-16,-3.4400000000000004,0.0,11.494285714285713,9.095714285714285,1.0,196.82571428571427,2019,1,16,61.0,0,China_1000.csv
2019-01-17,1000,118.0,61.0,29.0,8.0,13.0,6.0,0,0,2,2,4,4,6,6,5.779606442988856,-2.778077757854652,9.3605795,-5.1141477,101.265114,32.710583,1,2019-01-17,-1.827142857142857,0.0,13.927142857142856,7.838571428571428,1.0,190.20285714285714,2019,1,17,118.0,0,China_1000.csv
2019-01-18,1000,122.0,77.0,40.0,13.0,6.0,9.0,0,0,2,2,4,4,6,6,11.072287353606553,-3.3456574593046,9.555259,-5.532883,104.60941,36.092007,1,2019-01-18,-0.22428571428571428,0.0,20.595714285714287,9.768571428571429,1.0,153.07,2019,1,18,122.0,0,China_1000.csv
2019-01-19,1000,163.0,29.0,10.0,3.0,30.0,1.0,1,1,0,0,1,1,3,3,-0.30880270631375834,-0.6792928697117795,12.225301,5.627256,9.532209,-29.920044,1,2019-01-19,-0.23285714285714285,0.0,28.58857142857143,12.98,1.0,137.32714285714286,2019,1,19,163.0,0,China_1000.csv
2019-01-20,1000,52.0,24.0,7.0,2.0,27.0,1.0,1,1,0,0,5,5,1,1,-3.767593595507151,-1.6376449106948765,8.380067,11.430746,-64.72993,-39.940506,1,2019-01-20,-1.5685714285714287,0.0,24.462857142857143,10.524285714285714,1.0,244.57285714285715,2019,1,20,52.0,0,China_1000.csv
2019-01-21,1000,43.0,48.0,22.0,6.0,25.0,2.0,1,1,0,0,5,5,5,5,0.9591792639220216,-2.612413200254916,8.257355,3.2157552,29.596058,-60.422318,1,2019-01-21,0.9957142857142857,0.0,23.555714285714288,10.799999999999999,1.0,261.4114285714286,2019,1,21,48.0,0,China_1000.csv
2019-01-22,1000,85.0,57.0,25.0,9.0,22.0,3.0,0,0,2,2,2,2,8,8,4.278495012468147,-2.2895574251036064,9.358039,-2.966865,79.96097,9.597633,1,2019-01-22,1.9642857142857142,0.0,23.908571428571427,10.680000000000001,1.0,221.91857142857143,2019,1,22,85.0,0,China_1000.csv
2019-01-23,1000,93.0,45.0,24.0,7.0,23.0,2.0,0,0,2,2,2,2,2,2,2.811399305710145,-2.5870932300588896,8.972342,2.6183157,42.25439,-53.933964,1,2019-01-23,0.38571428571428573,0.0,45.05285714285714,8.677142857142856,1.0,106.88571428571429,2019,1,23,93.0,0,China_1000.csv
2019-01-24,1000,77.0,63.0,27.0,13.0,15.0,8.0,0,0,2,2,4,4,6,6,7.7847980221510005,-1.860387540293121,9.443473,-5.413547,102.935974,35.906277,1,2019-01-24,-0.25285714285714284,0.0,47.57,11.997142857142856,1.0,117.67285714285715,2019,1,24,77.0,0,China_1000.csv
2019-01-25,1000,186.0,36.0,10.0,5.0,24.0,2.0,1,1,0,0,1,1,3,3,1.591556695014652,-0.5563317729402146,11.986515,4.353862,22.576376,-28.37308,1,2019-01-25,-1.0671428571428572,0.0,21.03,13.304285714285713,1.0,214.16857142857143,2019,1,25,186.0,0,China_1000.csv
2019-01-26,1000,53.0,34.0,16.0,5.0,10.0,2.0,1,1,0,0,5,5,5,5,-0.4891575644790046,-3.5134286347008556,8.244585,4.056963,23.908354,-55.817528,1,2019-01-26,-1.9314285714285713,0.0,27.41714285714286,7.208571428571429,1.0,164.24285714285716,2019,1,26,53.0,0,China_1000.csv
2019-01-27,1000,70.0,86.0,23.0,10.0,27.0,6.0,0,0,2,2,4,4,6,6,5.384901581166159,-0.6399117939246846,9.212116,-5.1629767,99.570404,34.10569,1,2019-01-27,0.3657142857142857,0.0,18.385714285714283,11.952857142857143,1.0,203.73714285714286,2019,1,27,86.0,0,China_1000.csv
2019-01-28,1000,129.0,49.0,14.0,6.0,22.0,3.0,0,0,2,2,1,1,8,8,1.9094585045203214,-1.132209914598941,8.687041,-2.2563782,63.807587,14.41431,1,2019-01-28,-0.8457142857142858,0.0,25.648571428571426,8.332857142857142,1.0,182.00142857142856,2019,1,28,129.0,0,China_1000.csv
