time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,2001,189.0,162.0,25.0,14.0,22.0,7.0,1,1,0,0,0,0,1,1,2.868203086010364,-0.22913610997654058,8.507191,7.2729554,55.854355,-20.090881,5,2019-01-01,17.09,0.0,40.33,7.16,1.0,243.96,2019,1,1,189.0,0,India_2001.csv
2019-01-02,2001,150.0,140.0,17.0,17.0,24.0,6.0,2,2,1,1,0,0,1,1,1.7878885754864777,-1.0326354397681565,9.040966,6.706709,24.596674,14.0825405,5,2019-01-02,17.7,0.0,29.75,8.22,1.0,202.33,2019,1,2,150.0,0,India_2001.csv
2019-01-03,2001,150.0,156.0,19.0,17.0,28.0,8.0,2,2,1,1,0,0,1,1,2.2792964417023014,-0.0462570135069191,9.199415,6.6488748,24.556042,14.291714,5,2019-01-03,16.84,0.0,36.46,6.65,1.0,232.46,2019,1,3,156.0,0,India_2001.csv
2019-01-04,2001,156.0,172.0,22.0,17.0,23.0,8.0,1,1,0,0,0,0,1,1,2.821557763492181,-0.495306097516407,9.039143,6.8516765,24.676176,14.083505,5,2019-01-04,16.64,0.0,44.58,7.1,1.0,187.67,2019,1,4,172.0,0,India_2001.csv
2019-01-05,2001,166.0,136.0,20.0,13.0,27.0,6.0,2,2,1,1,0,0,1,1,1.4799370434785877,0.06313130513998536,10.481101,5.1907496,18.315195,36.915432,5,2019-01-05,18.02,0.0,46.08,9.03,1.0,274.17,2019,1,5,166.0,0,India_2001.csv
2019-01-06,2001,157.0,106.0,13.0,5.0,29.0,4.0,2,2,1,1,3,3,7,7,-1.3224036188972417,1.0326176077117095,11.496938,2.2734265,-15.640585,27.318207,5,2019-01-06,15.13,0.0,46.17,13.29,1.0,247.46,2019,1,6,157.0,0,India_2001.csv
2019-01-07,2001,129.0,132.0,17.0,12.0,25.0,5.0,2,2,1,1,0,0,1,1,0.2622877707847874,-0.35762711841130257,9.624384,3.8996804,6.229723,4.726398,5,2019-01-07,12.94,0.0,61.5,9.54,1.0,78.17,2019,1,7,132.0,0,India_2001.csv
2019-01-08,2001,165.0,164.0,18.0,9.0,4.0,6.0,2,2,1,1,0,0,1,1,0.6913507597227917,-1.7298655792921165,6.958614,2.9636106,-4.344708,-37.689922,5,2019-01-08,14.46,0.0,49.54,6.98,1.0,248.54,2019,1,8,165.0,0,India_2001.csv
2019-01-09,2001,178.0,254.0,48.0,29.0,3.0,13.0,1,1,0,0,1,1,10,10,8.796779508004187,-3.115971114653802,9.59049,9.628227,74.27616,8.940857,5,2019-01-09,14.73,0.0,48.21,8.98,1.0,191.83,2019,1,9,254.0,0,India_2001.csv
2019-01-10,2001,179.0,168.0,24.0,18.0,15.0,8.0,1,1,0,0,0,0,1,1,3.4393608767317154,-1.5178143318106623,8.382525,7.41312,57.893055,-18.121853,5,2019-01-10,15.32,0.0,45.92,6.62,1.0,221.0,2019,1,10,179.0,0,India_2001.csv
