time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,1001,90.6,43.0,18.0,7.0,17.0,5.0,0,0,2,2,4,4,8,8,2.549243372723529,-1.9791389151434375,8.802206,-4.905002,92.323395,37.362858,2,2019-01-01,10.06,0.0,64.17,7.77,1.0,210.0,2019,1,1,90.6,0,China_1001.csv
2019-01-02,1001,115.0,52.0,25.0,10.0,7.0,7.0,0,0,2,2,4,4,6,6,6.2813059760432095,-2.680680635275441,9.406671,-5.29969,101.96772,34.38939,2,2019-01-02,9.28,0.0,66.25,7.15,1.0,201.08,2019,1,2,115.0,0,China_1001.csv
2019-01-03,1001,113.0,99.0,38.0,16.0,3.0,12.0,0,0,2,2,4,4,6,6,13.245300246117274,-2.2903900355361393,9.464048,-5.665918,104.7607,38.32424,2,2019-01-03,8.71,0.0,68.0,8.47,1.0,200.12,2019,1,3,113.0,0,China_1001.csv
2019-01-04,1001,199.0,38.0,10.0,3.0,24.0,3.0,1,1,0,0,1,1,3,3,1.0694520241880983,-0.43140227264523323,12.09254,4.421046,59.859463,11.784526,2,2019-01-04,9.59,0.0,60.38,7.75,1.0,208.04,2019,1,4,199.0,0,China_1001.csv
2019-01-05,1001,58.0,27.0,15.0,4.0,19.0,7.0,1,1,0,0,4,4,6,6,0.020370220884911003,-1.9184482868356871,8.400212,-5.2383327,95.384865,42.77092,2,2019-01-05,10.99,0.0,63.5,5.41,1.0,150.12,2019,1,5,58.0,0,China_1001.csv
2019-01-06,1001,41.0,72.0,34.0,9.0,1.0,5.0,0,0,2,2,4,4,8,8,5.282888824150905,-4.877915555614849,9.2925415,-4.923871,95.76597,30.142164,2,2019-01-06,12.12,0.0,65.0,5.57,1.0,189.67,2019,1,6,72.0,0,China_1001.csv
2019-01-07,1001,130.0,52.0,21.0,8.0,20.0,8.0,0,0,2,2,4,4,6,6,5.225764104336705,-0.9851390145974909,8.6814165,-5.2538233,97.69884,40.756752,2,2019-01-07,11.73,0.0,66.58,6.08,1.0,184.96,2019,1,7,130.0,0,China_1001.csv
2019-01-08,1001,91.0,26.0,10.0,3.0,24.0,2.0,1,1,0,0,1,1,3,3,-1.696567237449981,-1.638670386349706,10.127839,7.496992,1.1106566,-4.3878446,2,2019-01-08,8.18,0.0,81.08,6.74,1.0,187.04,2019,1,8,91.0,0,China_1001.csv
2019-01-09,1001,40.0,59.0,26.0,9.0,9.0,9.0,0,0,2,2,4,4,6,6,4.853964240627686,-2.819582650570985,9.37083,-5.487671,102.812325,37.536545,2,2019-01-09,8.29,0.0,74.83,6.68,1.0,219.83,2019,1,9,59.0,0,China_1001.csv
2019-01-10,1001,108.0,75.0,34.0,12.0,3.0,6.0,0,0,2,2,4,4,6,6,8.626030251733821,-3.6904782255572557,9.53049,-5.1711645,102.03762,31.27863,2,2019-01-10,8.58,0.0,74.46,7.02,1.0,235.04,2019,1,10,108.0,0,China_1001.csv
2019-01-11,1001,156.0,84.0,36.0,13.0,5.0,6.0,0,0,2,2,4,4,6,6,10.639170196434206,-3.124850200525134,9.560397,-5.118715,102.23967,30.445038,2,2019-01-11,9.4,0.0,68.17,7.14,1.0,229.33,2019,1,11,156.0,0,China_1001.csv
2019-01-12,1001,173.0,185.0,49.0,23.0,2.0,8.0,0,0,2,2,4,4,6,6,20.328078371073794,-1.736942144403379,10.651454,-3.5586193,100.1117,-4.643176,2,2019-01-12,10.88,0.0,66.21,6.1,1.0,210.88,2019,1,12,185.0,0,China_1001.csv
