time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,4006,91.2,45.0,1.0,13.0,3.0,10.2,2,2,1,1,1,1,11,11,-2.1423130792845853,2.2277758025676055,0.06705352,-1.8262792,-30.425186,19.896309,21,2019-01-01,21.2975,0.0,79.595,12.22625,1.0,169.41875,2019,1,1,91.2,0,Peru_4006.csv
2019-01-02,4006,91.0,36.0,1.0,12.0,3.6,2.0,2,2,1,1,1,1,11,11,-3.237315184157272,2.711134082657705,1.0710927,2.7439702,-22.363724,17.34329,21,2019-01-02,21.60875,0.0,77.335,12.69375,1.0,172.34875,2019,1,2,91.0,0,Peru_4006.csv
2019-01-03,4006,61.0,20.0,4.0,14.0,0.6,15.4,2,2,1,1,1,1,3,3,-4.2590558349277075,-1.6071015791269487,4.6578546,4.444585,-69.51627,-13.175531,21,2019-01-03,21.30875,0.0,78.94375,10.72375,1.0,202.5525,2019,1,3,61.0,0,Peru_4006.csv
2019-01-04,4006,90.0,44.0,2.0,14.0,0.0,11.6,2,2,1,1,1,1,11,11,-2.4653883867144994,2.3290560352217136,0.15863031,-1.9596674,-30.158154,19.908844,21,2019-01-04,22.26375,0.0,76.16875,9.997499999999999,1.0,205.41625,2019,1,4,90.0,0,Peru_4006.csv
2019-01-05,4006,75.0,46.0,2.0,13.0,0.0,5.2,2,2,1,1,1,1,3,3,-3.6514864861876246,2.1269433909796884,-0.0009065488,-1.9135071,-46.991,7.7956038,21,2019-01-05,22.585,0.0,76.06875,10.78125,1.0,185.3375,2019,1,5,75.0,0,Peru_4006.csv
2019-01-06,4006,73.0,38.0,15.4,13.0,3.4,15.0,2,2,1,1,4,4,9,9,0.044054055708739916,-0.48919755755198374,1.1361564,3.71202,20.281979,-48.10263,21,2019-01-06,22.009999999999998,0.0,76.27125,8.8225,1.0,185.635,2019,1,6,73.0,0,Peru_4006.csv
2019-01-07,4006,63.0,43.0,15.2,14.0,3.4,15.4,2,2,1,1,4,4,9,9,-0.18205919336871548,-0.9378832039115097,3.8102171,1.8215585,11.768763,-52.13676,21,2019-01-07,22.4225,0.0,73.56875,8.22875,1.0,195.9275,2019,1,7,63.0,0,Peru_4006.csv
2019-01-08,4006,65.0,44.0,18.0,14.0,3.0,9.4,2,2,1,1,4,4,7,7,-0.06628517755615096,0.04135922375476354,-0.103749886,4.406686,30.583221,-24.317926,21,2019-01-08,22.42375,0.0,78.25,9.81875,1.0,182.605,2019,1,8,65.0,0,Peru_4006.csv
2019-01-09,4006,70.0,53.0,21.6,15.0,4.4,9.0,0,0,1,1,4,4,7,7,1.594121897727055,0.7163382685471873,-1.0448581,4.0254135,74.93697,-10.289247,21,2019-01-09,23.865,0.0,70.95375,11.1375,1.0,171.19625000000002,2019,1,9,70.0,0,Peru_4006.csv
2019-01-10,4006,96.0,51.0,1.0,17.0,3.6,7.6,0,0,3,3,5,5,11,11,-1.714801699875549,3.441438051760559,-0.11525562,-0.84428424,-22.322777,30.476795,21,2019-01-10,23.17125,0.0,74.9,11.0625,1.0,178.02,2019,1,10,96.0,0,Peru_4006.csv
2019-01-11,4006,77.2,53.0,1.0,16.0,1.4,9.6,2,2,1,1,1,1,11,11,-2.739179528944427,2.116394709658214,0.68667936,-2.2735417,-51.664772,23.897205,21,2019-01-11,23.5825,0.0,70.16625,10.42375,1.0,172.10375,2019,1,11,77.2,0,Peru_4006.csv
2019-01-12,4006,89.0,55.0,1.0,16.0,2.4,3.6,2,2,3,3,5,5,11,11,-2.4160600289711702,3.7483561536633454,-0.088710144,-0.7246426,-22.410704,30.243057,21,2019-01-12,23.526249999999997,0.0,74.94125,14.2225,1.0,170.50125,2019,1,12,89.0,0,Peru_4006.csv
2019-01-13,4006,73.6,34.0,1.0,8.2,7.6,8.4,2,2,1,1,1,1,3,3,-2.8971931901840704,-0.2865722387107665,7.5365963,2.2316704,-47.954212,-27.349216,21,2019-01-13,22.49,0.0,81.61875,13.8,1.0,177.27625,2019,1,13,73.6,0,Peru_4006.csv
2019-01-14,4006,86.6,39.0,7.8,6.2,14.0,15.0,2,2,1,1,4,4,9,9,1.1098483435722866,-1.0972844567117472,3.471071,-2.5220068,26.936989,-72.20081,21,2019-01-14,22.2075,0.0,80.46,12.79625,1.0,179.4025,2019,1,14,86.6,0,Peru_4006.csv
2019-01-15,4006,102.2,54.0,1.0,3.2,8.0,14.2,0,0,3,3,5,5,11,11,0.09825832914872402,1.5939286426823602,-0.6457284,-1.368744,30.920965,55.007305,21,2019-01-15,22.3175,0.0,80.09375,10.33375,1.0,187.83375,2019,1,15,102.2,0,Peru_4006.csv
2019-01-16,4006,72.4,48.0,15.4,14.6,8.6,8.2,2,2,1,1,4,4,9,9,0.8755389627717404,0.342264121232039,3.1847744,0.74592024,21.609612,-6.140555,21,2019-01-16,22.2,0.0,82.345,11.405000000000001,1.0,182.135,2019,1,16,72.4,0,Peru_4006.csv
2019-01-17,4006,92.4,49.0,2.0,27.2,7.2,4.6,0,0,3,3,5,5,11,11,-1.3888354609417004,3.7513486960304756,-0.026881814,-0.42294866,-23.843443,32.37951,21,2019-01-17,21.3325,0.0,86.4925,10.01,1.0,187.64,2019,1,17,92.4,0,Peru_4006.csv
2019-01-18,4006,79.0,51.0,4.0,22.2,7.8,6.6,2,2,1,1,1,1,11,11,-1.2457667067750742,2.123023407627939,0.3954378,-0.56395864,-27.541677,31.48999,21,2019-01-18,21.5425,0.0,81.9275,10.24875,1.0,180.3475,2019,1,18,79.0,0,Peru_4006.csv
2019-01-19,4006,79.0,51.0,4.0,22.2,7.8,6.6,2,2,1,1,1,1,11,11,-1.2457667067750742,2.123023407627939,0.43116477,-0.6179894,-27.541636,31.489418,21,2019-01-19,22.369999999999997,0.0,80.37375,7.41625,1.0,194.20375,2019,1,19,79.0,0,Peru_4006.csv
2019-01-20,4006,71.2,42.0,4.0,5.0,16.8,7.8,2,2,1,1,1,1,9,9,-0.3821561848617059,-1.4439763657320233,6.1255293,0.49589044,-43.69866,-32.38863,21,2019-01-20,22.18,0.0,80.08875,9.205,1.0,181.60875,2019,1,20,71.2,0,Peru_4006.csv
