time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,3003,43.0,44.0,10.0,7.0,15.0,1.2,1,1,0,0,5,5,6,6,7.442619865836051,-6.4440586023069475,11.310894,-0.5275325,80.03888,-45.67436,12,2019-01-01,4.65,0.0,79.79,3.64,1.0,137.79,2019,1,1,44.0,0,USA_3003.csv
2019-01-02,3003,112.0,39.0,13.0,11.0,19.0,1.4,1,1,0,0,2,2,2,2,17.156889736027907,-6.812138681087963,13.723222,0.18648945,92.82191,-11.715386,12,2019-01-02,4.12,0.0,56.58,4.86,1.0,144.88,2019,1,2,112.0,0,USA_3003.csv
2019-01-03,3003,84.0,50.0,15.0,8.0,20.0,1.2,1,1,0,0,2,2,6,6,12.995868955203457,-5.419995604585189,13.051819,-0.09709477,90.55848,-13.772617,12,2019-01-03,5.4,0.0,58.75,4.06,1.0,114.79,2019,1,3,84.0,0,USA_3003.csv
2019-01-04,3003,94.0,57.0,15.0,8.0,19.0,1.0,1,1,0,0,2,2,6,6,13.970897436853614,-5.05986968724565,13.230871,0.022939526,90.4775,-13.437056,12,2019-01-04,6.41,0.0,67.42,5.12,1.0,142.62,2019,1,4,94.0,0,USA_3003.csv
2019-01-05,3003,105.0,32.0,10.0,3.0,20.0,1.2,1,1,0,0,5,5,10,10,5.42522347532336,-2.90688242653806,11.586042,2.3971758,65.99923,-4.5677967,12,2019-01-05,7.56,0.0,72.17,8.74,1.0,142.54,2019,1,5,105.0,0,USA_3003.csv
2019-01-06,3003,63.0,12.0,3.0,1.0,25.0,1.2,0,0,3,3,1,1,7,7,-2.7596187700853307,-1.895883353752038,6.6504188,7.7720113,7.7734356,-15.319382,12,2019-01-06,7.78,0.0,84.79,9.28,1.0,137.92,2019,1,6,63.0,0,USA_3003.csv
2019-01-07,3003,29.0,12.0,5.0,2.0,24.0,1.4,0,0,3,3,1,1,7,7,-2.892464217340119,-3.5167580795132087,4.014752,5.6710873,-19.455257,-69.15296,12,2019-01-07,11.63,0.0,81.46,12.52,1.0,138.04,2019,1,7,29.0,0,USA_3003.csv
2019-01-08,3003,22.0,23.0,10.0,4.0,20.0,1.0,0,0,3,3,5,5,1,1,1.3884579733256808,-5.521559011040833,8.797092,0.12947543,56.34422,-73.67091,12,2019-01-08,12.3,0.0,82.75,5.63,1.0,124.08,2019,1,8,23.0,0,USA_3003.csv
2019-01-09,3003,41.0,17.0,10.0,3.0,15.0,1.0,0,0,3,3,5,5,1,1,0.8981957181725313,-6.010821380558607,8.165376,1.6751773,39.703403,-42.376877,12,2019-01-09,11.76,0.0,83.58,6.35,1.0,97.25,2019,1,9,41.0,0,USA_3003.csv
2019-01-10,3003,48.0,14.0,6.0,3.0,13.0,1.0,0,0,3,3,1,1,10,10,-0.11314237581727879,-5.9116105159893095,8.777311,1.9346881,42.548008,-37.648323,12,2019-01-10,9.19,0.0,95.12,4.95,1.0,175.12,2019,1,10,48.0,0,USA_3003.csv
2019-01-11,3003,44.0,17.0,5.0,4.0,13.0,1.0,0,0,3,3,5,5,10,10,0.7555070606351075,-6.177251120763734,8.990666,1.1652167,47.551556,-39.62239,12,2019-01-11,9.2,0.0,88.04,4.83,1.0,128.17,2019,1,11,44.0,0,USA_3003.csv
2019-01-12,3003,46.0,17.0,8.0,4.0,25.0,2.0,0,0,3,3,5,5,1,1,1.7411391751086576,-4.044311068985852,9.09205,1.3224809,45.233395,-45.11873,12,2019-01-12,10.62,0.0,81.58,5.32,1.0,129.08,2019,1,12,46.0,0,USA_3003.csv
2019-01-13,3003,37.0,18.0,9.0,3.0,22.0,1.4,0,0,3,3,1,1,1,1,0.38853108154729865,-4.457017249567878,7.8270693,2.155033,29.80573,-46.144035,12,2019-01-13,9.86,0.0,76.71,5.37,1.0,139.46,2019,1,13,37.0,0,USA_3003.csv
2019-01-14,3003,47.0,23.0,11.0,5.0,12.0,1.2,1,1,0,0,5,5,1,1,4.3494470425356555,-7.271685916107182,9.933104,0.46723258,65.421814,-43.087444,12,2019-01-14,10.21,0.0,69.42,6.25,1.0,149.83,2019,1,14,47.0,0,USA_3003.csv
2019-01-15,3003,49.0,18.0,8.0,3.0,21.0,2.0,0,0,3,3,1,1,10,10,0.693606245263519,-4.276205638100332,8.453808,2.4596434,38.533573,-38.342487,12,2019-01-15,9.6,0.0,81.71,9.96,1.0,121.38,2019,1,15,49.0,0,USA_3003.csv
