time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,1002,154.0,45.0,20.0,9.0,16.0,4.0,0,0,2,2,4,4,8,8,5.075707723362354,-1.759692096799913,9.1975765,-3.8519442,90.86637,19.105341,1,2019-01-01,-5.24,0.0,31.322857142857142,8.214285714285714,1.0,225.13714285714286,2019,1,1,154.0,0,China_1002.csv
2019-01-02,1002,97.0,52.0,26.0,11.0,9.0,5.0,0,0,2,2,4,4,8,8,6.107528004926413,-3.0094677646765673,9.387579,-4.86895,99.12856,29.359491,1,2019-01-02,-5.3999999999999995,0.0,36.47,6.168571428571428,1.0,145.97571428571428,2019,1,2,97.0,0,China_1002.csv
2019-01-03,1002,111.0,92.0,43.0,22.0,5.0,13.0,0,0,2,2,4,4,6,6,17.25959127394574,-2.08896368980841,9.459835,-5.689302,105.11906,38.53619,1,2019-01-03,-3.698571428571429,0.0,35.605714285714285,10.12142857142857,1.0,135.75,2019,1,3,111.0,0,China_1002.csv
2019-01-04,1002,200.0,39.0,11.0,8.0,27.0,2.0,0,0,2,2,1,1,9,9,3.700055004355813,0.027119503686959694,12.12909,3.8038301,44.33025,-15.959787,1,2019-01-04,-3.9985714285714287,0.0,18.21857142857143,13.754285714285714,1.0,165.63714285714286,2019,1,4,200.0,0,China_1002.csv
2019-01-05,1002,57.0,24.0,15.0,4.0,23.0,1.0,1,1,0,0,5,5,5,5,-1.4452791067467707,-2.66192994906361,5.968492,5.5678444,-10.454236,-59.04127,1,2019-01-05,-4.307142857142857,0.0,18.3,6.588571428571429,1.0,141.49571428571429,2019,1,5,57.0,0,China_1002.csv
2019-01-06,1002,45.0,69.0,34.0,13.0,6.0,6.0,0,0,2,2,4,4,6,6,7.7079304069522445,-3.9223378698853644,9.426386,-5.0785313,97.63985,31.672134,1,2019-01-06,-4.910000000000001,0.0,26.5,7.867142857142857,1.0,184.29285714285714,2019,1,6,69.0,0,China_1002.csv
2019-01-07,1002,143.0,44.0,19.0,9.0,25.0,4.0,0,0,2,2,4,4,8,8,4.6997906914799765,-0.9585019583813827,9.217964,-3.8667088,90.87992,19.179565,1,2019-01-07,-3.4857142857142853,0.0,23.172857142857143,11.178571428571429,1.0,136.4414285714286,2019,1,7,143.0,0,China_1002.csv
2019-01-08,1002,80.0,25.0,11.0,4.0,28.0,1.0,1,1,0,0,5,5,1,1,-1.4957375146925649,-1.5820847281170602,6.266067,5.034928,-12.165706,-0.12000015,1,2019-01-08,-4.687142857142858,0.0,21.642857142857142,8.557142857142857,1.0,218.38714285714286,2019,1,8,80.0,0,China_1002.csv
2019-01-09,1002,34.0,50.0,25.0,6.0,14.0,5.0,0,0,2,2,4,4,8,8,1.904629649312097,-3.4312220108659996,9.090337,-4.9484816,94.34978,31.113365,1,2019-01-09,-4.744285714285715,0.0,25.33142857142857,7.255714285714285,1.0,205.65285714285713,2019,1,9,50.0,0,China_1002.csv
2019-01-10,1002,112.0,81.0,37.0,12.0,7.0,8.0,0,0,2,2,4,4,6,6,9.721007644064182,-3.1954212638365407,9.587786,-5.4878983,104.38855,35.434536,1,2019-01-10,-2.0285714285714285,0.0,32.72571428571429,6.234285714285714,1.0,210.47714285714284,2019,1,10,112.0,0,China_1002.csv
