time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,3010,27.8,9.0,8.0,2.0,32.0,3.8,0,0,3,3,1,1,7,7,-2.4525035976627714,-2.3946803453406003,6.2906904,5.5452127,-14.220084,-22.88177,19,2019-01-01,8.33,0.0,18.29,20.78,1.0,34.46,2019,1,1,32.0,0,USA_3010.csv
2019-01-02,3010,17.0,6.0,2.0,1.0,31.0,9.4,0,0,2,2,3,3,0,0,-7.098669239858697,-1.5671115548258716,16.725342,-7.477009,-81.254295,-65.22203,19,2019-01-02,8.83,0.0,18.83,15.65,1.0,25.29,2019,1,2,31.0,0,USA_3010.csv
2019-01-03,3010,6.0,11.0,14.0,3.4,28.0,1.4,0,0,3,3,5,5,1,1,0.3048367287056278,-5.066265903523983,7.0489693,1.4004006,31.079767,-67.0782,19,2019-01-03,10.45,0.0,19.54,13.99,1.0,23.96,2019,1,3,28.0,0,USA_3010.csv
2019-01-04,3010,27.0,16.0,18.0,4.8,26.0,6.6,1,1,0,0,5,5,6,6,4.124213501272694,-5.864975050638513,11.097531,-0.97742033,64.56824,-54.874474,19,2019-01-04,10.89,0.0,25.92,10.06,1.0,39.12,2019,1,4,27.0,0,USA_3010.csv
2019-01-05,3010,30.0,25.0,22.0,4.6,28.0,6.6,1,1,0,0,5,5,6,6,5.785688498212047,-5.351259777822755,11.184675,-1.063679,64.4736,-55.93027,19,2019-01-05,10.62,0.0,48.71,7.84,1.0,128.46,2019,1,5,30.0,0,USA_3010.csv
2019-01-06,3010,64.0,8.0,4.0,1.6,32.0,1.4,0,0,3,3,1,1,7,7,-1.8381812496738121,-1.0633555496315152,8.551632,4.8263,17.583876,-20.8454,19,2019-01-06,9.67,0.0,87.12,10.02,1.0,164.33,2019,1,6,64.0,0,USA_3010.csv
2019-01-07,3010,20.0,8.0,6.0,1.8,27.0,1.4,0,0,3,3,1,1,7,7,-3.5529478154241296,-3.328733666380789,3.2247622,5.4334226,-16.10283,-85.528595,19,2019-01-07,10.49,0.0,89.83,12.91,1.0,151.83,2019,1,7,27.0,0,USA_3010.csv
2019-01-08,3010,23.0,10.0,10.0,2.4,27.0,1.4,0,0,3,3,1,1,1,1,-1.2678972567396494,-3.978832508754716,5.1995773,2.544523,2.391041,-72.5729,19,2019-01-08,12.47,0.0,76.71,10.25,1.0,48.71,2019,1,8,27.0,0,USA_3010.csv
2019-01-09,3010,24.0,15.0,12.0,3.2,29.0,1.0,0,0,3,3,5,5,1,1,0.7466876334240231,-3.9391842882441708,6.881523,1.7738345,28.104122,-68.75752,19,2019-01-09,12.12,0.0,73.79,6.81,1.0,103.96,2019,1,9,29.0,0,USA_3010.csv
2019-01-10,3010,34.0,13.0,8.0,1.8,28.0,3.0,0,0,3,3,1,1,7,7,-2.0469438965492506,-2.804954943982967,6.535766,5.3795886,-15.353004,-21.752975,19,2019-01-10,11.65,0.0,76.62,7.22,1.0,193.33,2019,1,10,34.0,0,USA_3010.csv
