time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,2002,146.4,101.0,26.0,10.0,30.0,7.0,2,2,1,1,0,0,1,1,0.44958666817814624,0.9710776491585972,10.353085,5.1235256,16.1562,10.726016,6,2019-01-01,14.88,0.0,54.62,7.27,1.0,139.71,2019,1,1,146.4,0,India_2002.csv
2019-01-02,2002,129.0,135.0,23.0,8.0,29.0,3.0,2,2,1,1,0,0,1,1,-0.015628744845277435,0.4260105607385459,10.242758,3.8316731,11.72243,2.3351285,6,2019-01-02,16.2,0.0,50.17,7.97,1.0,186.17,2019,1,2,135.0,0,India_2002.csv
2019-01-03,2002,129.0,81.0,20.0,7.0,30.0,2.0,2,2,1,1,3,3,7,7,-1.3323664545740899,0.20933266423476207,11.559885,3.105231,-20.508291,42.306637,6,2019-01-03,15.62,0.0,47.83,8.12,1.0,134.42,2019,1,3,129.0,0,India_2002.csv
2019-01-04,2002,128.0,97.0,21.0,7.0,33.0,4.0,2,2,1,1,3,3,7,7,-0.9475701277369261,1.0711589326682913,11.576212,3.6826878,-17.43179,44.135773,6,2019-01-04,14.93,0.0,61.04,8.83,1.0,113.38,2019,1,4,128.0,0,India_2002.csv
2019-01-05,2002,169.0,91.0,22.0,8.0,36.0,4.0,2,2,1,1,0,0,7,7,0.025075817101736078,1.3336552803522712,11.156033,4.533994,0.598346,31.779577,6,2019-01-05,15.68,0.0,63.88,10.87,1.0,101.92,2019,1,5,169.0,0,India_2002.csv
2019-01-06,2002,164.0,92.0,13.0,5.0,37.0,2.0,2,2,1,1,3,3,7,7,-1.3563502608619735,1.4565009136949754,12.404599,2.9092295,-13.142193,45.886288,6,2019-01-06,14.35,0.0,64.67,10.47,1.0,202.71,2019,1,6,164.0,0,India_2002.csv
2019-01-07,2002,179.0,83.0,14.0,7.0,35.0,2.0,2,2,1,1,3,3,7,7,-0.7725793014914988,0.8845877851174749,11.847126,3.0105038,-11.603595,38.45882,6,2019-01-07,13.87,0.0,58.0,7.22,1.0,92.42,2019,1,7,179.0,0,India_2002.csv
2019-01-08,2002,140.0,89.0,17.0,4.0,34.0,1.0,2,2,1,1,3,3,7,7,-1.7955490912310268,1.0203433672689943,11.916726,3.0524178,-14.923081,43.714046,6,2019-01-08,13.56,0.0,59.96,8.62,1.0,209.0,2019,1,8,140.0,0,India_2002.csv
2019-01-09,2002,140.0,77.0,15.0,5.0,34.0,1.0,2,2,1,1,3,3,7,7,-1.9439013357101476,0.76981768663767,12.117641,2.7325556,-19.810371,44.343353,6,2019-01-09,13.9,0.0,58.33,9.18,1.0,200.21,2019,1,9,140.0,0,India_2002.csv
2019-01-10,2002,147.0,100.0,19.0,5.0,36.0,2.0,2,2,1,1,3,3,7,7,-1.0943278354241754,1.3804252099366625,11.957668,3.3907812,-14.750962,44.20206,6,2019-01-10,14.01,0.0,55.29,7.22,1.0,120.75,2019,1,10,147.0,0,India_2002.csv
2019-01-11,2002,162.0,82.0,16.0,4.0,37.0,2.0,2,2,1,1,3,3,7,7,-1.5292026522162794,1.6017675547541959,12.492053,2.9933932,-13.873628,45.746876,6,2019-01-11,14.47,0.0,58.04,9.21,1.0,100.33,2019,1,11,162.0,0,India_2002.csv
2019-01-12,2002,138.0,95.0,19.0,5.0,37.0,2.0,2,2,1,1,3,3,7,7,-1.3308123200713946,1.443631692549441,11.929731,3.3751054,-15.009621,44.17577,6,2019-01-12,14.35,0.0,59.38,8.84,1.0,106.75,2019,1,12,138.0,0,India_2002.csv
2019-01-13,2002,150.0,81.0,15.0,6.0,45.0,3.0,0,0,2,2,3,3,7,7,-1.332588355295629,2.3304711220339303,13.043851,2.9266593,-15.2329645,48.251205,6,2019-01-13,15.26,0.0,58.54,10.15,1.0,63.79,2019,1,13,150.0,0,India_2002.csv
2019-01-14,2002,165.0,70.0,10.0,4.0,37.0,2.0,2,2,1,1,3,3,7,7,-2.127606696640598,1.5040688259585464,12.808151,1.9148892,-37.451054,57.564873,6,2019-01-14,13.61,0.0,38.96,12.74,1.0,266.75,2019,1,14,165.0,0,India_2002.csv
2019-01-15,2002,130.0,80.0,17.0,6.0,35.0,2.0,2,2,1,1,3,3,7,7,-1.7000833478749495,0.927902806326272,12.129007,2.8273811,-20.451744,43.94723,6,2019-01-15,13.57,0.0,38.71,8.83,1.0,226.83,2019,1,15,130.0,0,India_2002.csv
2019-01-16,2002,129.0,100.0,23.0,5.0,39.0,3.0,2,2,1,1,3,3,7,7,-1.0720775016609507,1.9199977669411883,11.716077,4.206303,0.52384406,37.2454,6,2019-01-16,14.46,0.0,49.92,8.15,1.0,99.83,2019,1,16,129.0,0,India_2002.csv
2019-01-17,2002,161.0,83.0,23.0,7.0,36.0,3.0,2,2,1,1,0,0,7,7,-0.393046565656899,1.236602906184929,11.125745,4.495187,0.6835811,31.773533,6,2019-01-17,15.89,0.0,53.04,5.89,1.0,104.79,2019,1,17,161.0,0,India_2002.csv
2019-01-18,2002,141.0,103.0,24.0,6.0,43.0,3.0,0,0,2,2,0,0,7,7,-0.4764819480349698,2.25613626225631,12.09008,4.9087834,27.15193,57.623234,6,2019-01-18,16.1,0.0,54.67,6.68,1.0,135.71,2019,1,18,141.0,0,India_2002.csv
2019-01-19,2002,163.0,101.0,27.0,6.0,29.0,4.0,2,2,1,1,0,0,1,1,-0.025638427608237386,0.9610916090275196,10.545769,4.780854,2.8345985,32.22849,6,2019-01-19,17.25,0.0,58.25,8.4,1.0,153.88,2019,1,19,163.0,0,India_2002.csv
2019-01-20,2002,157.0,84.0,23.0,5.0,31.0,3.0,2,2,1,1,3,3,7,7,-0.911498021396169,1.0134403810783243,10.803497,4.2500796,2.9715085,33.660286,6,2019-01-20,18.76,0.0,55.38,9.05,1.0,151.79,2019,1,20,157.0,0,India_2002.csv
2019-01-21,2002,146.0,195.0,19.0,5.0,27.0,3.0,2,2,1,1,0,0,1,1,0.35110291221310985,1.0369947529558439,11.573213,4.427448,8.080861,42.371773,6,2019-01-21,17.09,0.0,65.83,9.03,1.0,117.96,2019,1,21,195.0,0,India_2002.csv
2019-01-22,2002,148.0,58.0,13.0,4.0,25.0,2.0,2,2,1,1,3,3,7,7,-2.5527828699949526,0.05583447298388428,11.076612,0.94184667,-42.495018,34.004658,6,2019-01-22,15.02,0.0,66.54,6.71,1.0,129.38,2019,1,22,148.0,0,India_2002.csv
2019-01-23,2002,82.0,63.0,11.0,4.0,29.0,2.0,2,2,1,1,3,3,7,7,-3.7964694751340677,0.3279170463575917,12.281981,-0.45774102,-54.138355,38.92899,6,2019-01-23,14.82,0.0,67.71,8.67,1.0,117.17,2019,1,23,82.0,0,India_2002.csv
2019-01-24,2002,128.0,62.0,10.0,5.0,17.0,2.0,2,2,1,1,3,3,0,0,-2.9803426718632893,-1.0919808912375772,9.563324,-0.08499572,-35.38419,-21.023317,6,2019-01-24,13.53,0.0,78.5,12.1,1.0,58.54,2019,1,24,128.0,0,India_2002.csv
2019-01-25,2002,132.0,57.0,8.0,5.0,32.0,1.0,2,2,1,1,3,3,7,7,-2.9768450359686036,0.36584528324162024,12.548516,1.0369526,-42.33301,51.742245,6,2019-01-25,12.52,0.0,57.92,11.22,1.0,127.67,2019,1,25,132.0,0,India_2002.csv
2019-01-26,2002,100.0,58.0,11.0,5.0,34.0,2.0,2,2,1,1,3,3,7,7,-3.2852769365296206,0.748094577799791,12.891424,0.90937066,-41.259373,47.16853,6,2019-01-26,11.81,0.0,45.88,9.75,1.0,84.33,2019,1,26,100.0,0,India_2002.csv
2019-01-27,2002,100.0,65.0,16.0,6.0,35.0,3.0,2,2,1,1,3,3,7,7,-2.5623139336048744,0.9785720272482539,12.576259,1.3315915,-41.396145,44.78849,6,2019-01-27,11.6,0.0,47.71,9.39,1.0,260.08,2019,1,27,100.0,0,India_2002.csv
2019-01-28,2002,124.0,76.0,16.0,5.0,32.0,2.0,2,2,1,1,3,3,7,7,-2.1891842482824853,0.7179507890641101,12.146532,1.5168084,-23.051472,43.6883,6,2019-01-28,11.58,0.0,46.38,9.59,1.0,336.33,2019,1,28,124.0,0,India_2002.csv
2019-01-29,2002,128.0,62.0,17.0,5.0,30.0,2.0,2,2,1,1,3,3,7,7,-2.292143534066989,0.44175457477134633,12.044214,1.4099102,-35.07609,44.703373,6,2019-01-29,12.38,0.0,44.29,8.77,1.0,262.38,2019,1,29,128.0,0,India_2002.csv
2019-01-30,2002,120.0,72.0,17.0,2.0,35.0,2.0,2,2,1,1,3,3,7,7,-2.8188199899370057,1.5638609652665076,12.545608,1.5440383,-36.515583,43.94992,6,2019-01-30,13.63,0.0,48.29,8.32,1.0,116.67,2019,1,30,120.0,0,India_2002.csv
2019-01-31,2002,135.0,58.0,13.0,3.0,33.0,4.0,2,2,1,1,3,3,7,7,-2.869471245665491,1.5412578413709568,12.337997,1.6790023,-34.69269,50.266285,6,2019-01-31,15.08,0.0,56.5,11.19,1.0,106.62,2019,1,31,135.0,0,India_2002.csv
2019-02-01,2002,119.0,54.0,6.0,3.0,32.0,2.0,2,2,1,1,3,3,7,7,-3.8056086948549677,0.8683827023659798,13.081603,0.8018843,-47.12886,65.74856,6,2019-02-01,14.44,0.0,59.5,12.55,1.0,343.21,2019,2,1,119.0,0,India_2002.csv
2019-02-02,2002,115.0,58.0,8.0,3.0,34.0,2.0,2,2,1,1,3,3,7,7,-3.637832148603946,1.1196413274380639,13.144744,0.9096959,-47.050415,65.35808,6,2019-02-02,13.38,0.0,61.29,8.62,1.0,193.33,2019,2,2,115.0,0,India_2002.csv
2019-02-03,2002,121.0,66.0,12.0,2.0,10.0,2.0,2,2,1,1,3,3,0,0,-3.5771767556784195,-1.344638017631795,7.8226867,-0.6198663,-45.680542,-28.601519,6,2019-02-03,13.54,0.0,64.42,6.87,1.0,144.42,2019,2,3,121.0,0,India_2002.csv
2019-02-04,2002,111.0,83.8,9.0,4.2,26.4,3.0,2,2,1,1,3,3,7,7,-3.047913062871436,0.3855371882180764,11.720319,-0.04539412,-57.562523,41.164276,6,2019-02-04,16.58,0.0,64.0,8.9,1.0,104.42,2019,2,4,111.0,0,India_2002.csv
2019-02-05,2002,149.5822841180519,114.82240580294176,18.75631236617784,9.462042997692214,23.415262436507295,5.553042899900233,2,2,1,1,0,0,1,1,-0.024653403260480163,0.019591619741040827,-6.3871164,3.3240197,4.8190203,-27.552046,6,2019-02-05,18.78,0.0,71.58,7.43,1.0,120.75,2019,2,5,149.5822841180519,0,India_2002.csv
2019-02-06,2002,156.4,93.0,20.0,4.0,29.0,3.0,2,2,1,1,3,3,7,7,-1.2282711150828087,0.9803723715630019,10.848318,3.498821,-7.6912475,25.981884,6,2019-02-06,18.66,0.0,56.25,8.82,1.0,210.62,2019,2,6,156.4,0,India_2002.csv
2019-02-07,2002,140.0,90.0,11.0,3.0,32.0,2.0,2,2,1,1,3,3,7,7,-2.4463119725655984,1.1448294635463223,12.50225,1.4314375,-38.09316,52.592865,6,2019-02-07,15.18,0.0,39.83,13.62,1.0,254.96,2019,2,7,140.0,0,India_2002.csv
2019-02-08,2002,115.0,80.0,9.0,2.0,35.0,2.0,2,2,1,1,3,3,7,7,-3.3899661946786916,1.5247253008592194,13.182925,1.0781623,-47.914024,64.68897,6,2019-02-08,13.03,0.0,41.21,9.77,1.0,250.83,2019,2,8,115.0,0,India_2002.csv
2019-02-09,2002,109.0,67.0,13.0,4.0,37.0,2.0,2,2,1,1,3,3,7,7,-2.9839089188688686,1.351111342620314,13.23246,1.3835069,-39.03916,74.81405,6,2019-02-09,13.36,0.0,43.71,9.71,1.0,240.0,2019,2,9,109.0,0,India_2002.csv
2019-02-10,2002,115.0,77.0,19.0,3.0,40.0,2.0,2,2,1,1,3,3,7,7,-2.416782953606063,1.982181678528011,12.841237,1.8103386,-36.30621,76.97002,6,2019-02-10,13.7,0.0,47.5,7.03,1.0,116.25,2019,2,10,115.0,0,India_2002.csv
2019-02-11,2002,127.0,71.0,14.0,3.0,43.0,3.0,2,2,1,1,3,3,7,7,-2.6238822277725533,2.507664917688974,13.437539,2.1126359,-38.263256,72.94305,6,2019-02-11,14.93,0.0,56.5,8.1,1.0,97.71,2019,2,11,127.0,0,India_2002.csv
2019-02-12,2002,125.0,66.0,12.0,2.0,43.0,3.0,2,2,1,1,3,3,7,7,-3.0958994317661537,2.637523224754745,13.451685,2.0270588,-38.776386,72.60832,6,2019-02-12,17.0,0.0,56.46,9.52,1.0,100.33,2019,2,12,125.0,0,India_2002.csv
2019-02-13,2002,127.0,82.0,18.0,5.0,41.0,4.0,2,2,1,1,3,3,7,7,-1.746623049564498,2.2326406694157503,12.628545,3.1028054,-18.140333,46.727512,6,2019-02-13,19.69,0.0,59.71,13.64,1.0,115.25,2019,2,13,127.0,0,India_2002.csv
2019-02-14,2002,158.0,81.0,10.0,2.0,42.0,3.0,2,2,1,1,3,3,7,7,-2.404101614295069,2.6767346135084233,13.277045,2.163322,-38.54378,69.28764,6,2019-02-14,19.63,0.0,64.92,10.83,1.0,150.54,2019,2,14,158.0,0,India_2002.csv
2019-02-15,2002,152.0,89.0,12.0,4.0,42.0,1.0,2,2,1,1,3,3,7,7,-1.8594802002839996,1.92480344559705,13.149236,2.4226222,-36.05316,68.44377,6,2019-02-15,17.17,0.0,48.67,13.39,1.0,324.92,2019,2,15,152.0,0,India_2002.csv
2019-02-16,2002,148.0,59.0,8.0,4.0,39.0,4.0,2,2,1,1,3,3,7,7,-2.7216438789871447,2.050118847394391,12.847204,1.7930576,-37.156006,59.560688,6,2019-02-16,15.63,0.0,51.83,10.78,1.0,264.58,2019,2,16,148.0,0,India_2002.csv
2019-02-17,2002,101.0,94.0,14.0,4.0,32.0,2.0,2,2,1,1,3,3,7,7,-2.6728161394970464,0.8992974608693503,12.4734535,1.0445344,-38.851967,44.763214,6,2019-02-17,17.25,0.0,45.5,7.12,1.0,235.0,2019,2,17,101.0,0,India_2002.csv
2019-02-18,2002,146.0,110.0,14.0,2.0,27.0,3.0,2,2,1,1,3,3,7,7,-2.0245699439573603,1.1100872273557647,11.144835,2.1538363,-27.193615,18.111038,6,2019-02-18,20.27,0.0,40.17,14.09,1.0,228.67,2019,2,18,146.0,0,India_2002.csv
2019-02-19,2002,135.0,83.0,14.0,4.0,16.0,2.0,2,2,1,1,3,3,0,0,-2.4145343816779263,-0.8749918152459403,9.114245,0.6644405,-31.475569,-21.961664,6,2019-02-19,20.69,0.0,49.04,8.35,1.0,157.79,2019,2,19,135.0,0,India_2002.csv
2019-02-20,2002,122.0,47.0,9.0,2.0,28.0,1.0,2,2,1,1,3,3,7,7,-3.899050735556828,0.3692412471809417,12.231856,-0.092749506,-60.102367,46.28955,6,2019-02-20,19.71,0.0,68.12,11.78,1.0,112.04,2019,2,20,122.0,0,India_2002.csv
