time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,4002,98.4,32.8,8.0,13.0,1.0,59.0,1,1,2,2,3,3,8,8,2.9467600798783495,-4.316531615914975,3.3599098,-7.648987,34.71946,-94.89478,21,2019-01-01,21.2975,0.0,79.595,12.22625,1.0,169.41875,2019,1,1,98.4,0,Peru_4002.csv
2019-01-02,4002,77.8,35.0,10.0,12.0,1.4,59.0,1,1,2,2,3,3,8,8,2.546043277888147,-5.870432140887987,3.3055718,-7.797301,35.014603,-97.93679,21,2019-01-02,21.60875,0.0,77.335,12.69375,1.0,172.34875,2019,1,2,77.8,0,Peru_4002.csv
2019-01-03,4002,54.2,18.0,8.0,11.0,0.0,59.0,1,1,2,2,3,3,8,8,-0.13629615824302097,-8.278983057196259,2.9517798,-8.071337,32.206505,-102.54909,21,2019-01-03,21.30875,0.0,78.94375,10.72375,1.0,202.5525,2019,1,3,59.0,0,Peru_4002.csv
2019-01-04,4002,63.2,19.0,15.0,12.0,3.0,60.0,1,1,2,2,3,3,8,8,2.4059960769404207,-8.188049717820844,3.1201804,-7.9642,33.538425,-101.22869,21,2019-01-04,22.26375,0.0,76.16875,9.997499999999999,1.0,205.41625,2019,1,4,63.2,0,Peru_4002.csv
2019-01-05,4002,54.8,17.0,6.0,12.0,1.0,60.0,1,1,2,2,3,3,8,8,-0.2959499117351343,-8.422693854961977,2.9196312,-8.1153555,31.978983,-102.87956,21,2019-01-05,22.585,0.0,76.06875,10.78125,1.0,185.3375,2019,1,5,60.0,0,Peru_4002.csv
2019-01-06,4002,108.0,29.0,19.0,12.0,18.8,60.0,1,1,2,2,3,3,8,8,8.753503886358963,-6.528828910575865,3.7219665,-7.3753796,38.195847,-90.14943,21,2019-01-06,22.009999999999998,0.0,76.27125,8.8225,1.0,185.635,2019,1,6,108.0,0,Peru_4002.csv
2019-01-07,4002,67.0,18.0,5.6,11.0,21.0,61.0,1,1,2,2,3,3,8,8,3.962668591063094,-10.201197430876194,3.715011,-8.044223,44.1715,-95.04459,21,2019-01-07,22.4225,0.0,73.56875,8.22875,1.0,195.9275,2019,1,7,67.0,0,Peru_4002.csv
2019-01-08,4002,49.6,18.0,4.2,13.0,20.2,61.0,1,1,2,2,3,3,8,8,2.6973724954136924,-11.179311324249865,3.7895088,-8.114762,44.22841,-95.053604,21,2019-01-08,22.42375,0.0,78.25,9.81875,1.0,182.605,2019,1,8,61.0,0,Peru_4002.csv
2019-01-09,4002,65.4,21.0,12.0,15.0,1.0,61.0,1,1,2,2,3,3,8,8,1.736725393546333,-7.517248423687874,3.099048,-7.9659176,33.471733,-101.18062,21,2019-01-09,23.865,0.0,70.95375,11.1375,1.0,171.19625000000002,2019,1,9,65.4,0,Peru_4002.csv
2019-01-10,4002,63.2,24.0,23.0,15.0,1.0,62.0,1,1,2,2,3,3,8,8,4.113842192567208,-7.931635964178088,4.0688133,-6.0816894,48.423542,-85.41389,21,2019-01-10,23.17125,0.0,74.9,11.0625,1.0,178.02,2019,1,10,63.2,0,Peru_4002.csv
2019-01-11,4002,83.6,27.0,26.0,15.0,1.0,62.0,1,1,2,2,3,3,8,8,5.863635497346927,-6.378483347843118,4.1586213,-6.1778703,47.559395,-85.670815,21,2019-01-11,23.5825,0.0,70.16625,10.42375,1.0,172.10375,2019,1,11,83.6,0,Peru_4002.csv
2019-01-12,4002,45.8,22.0,32.0,15.0,1.0,62.0,1,1,2,2,3,3,8,8,5.003046910335057,-9.513828783839761,4.117849,-5.7871714,50.74928,-84.12352,21,2019-01-12,23.526249999999997,0.0,74.94125,14.2225,1.0,170.50125,2019,1,12,62.0,0,Peru_4002.csv
2019-01-13,4002,74.6,21.0,8.0,15.0,1.0,62.0,1,1,2,2,3,3,8,8,1.454399614543875,-6.886299802324256,3.1461308,-7.884614,33.921688,-99.48895,21,2019-01-13,22.49,0.0,81.61875,13.8,1.0,177.27625,2019,1,13,74.6,0,Peru_4002.csv
2019-01-14,4002,58.4,16.0,9.0,12.0,1.0,62.0,1,1,2,2,3,3,8,8,0.6129606293028957,-8.554023350627952,3.0321133,-8.023757,32.81209,-101.98951,21,2019-01-14,22.2075,0.0,80.46,12.79625,1.0,179.4025,2019,1,14,62.0,0,Peru_4002.csv
2019-01-15,4002,63.2,19.0,12.0,14.0,1.0,64.0,1,1,2,2,3,3,8,8,1.7904368456618307,-8.251562715947411,3.0771224,-7.9966803,33.45854,-101.251144,21,2019-01-15,22.3175,0.0,80.09375,10.33375,1.0,187.83375,2019,1,15,64.0,0,Peru_4002.csv
2019-01-16,4002,51.6,19.0,14.0,14.0,1.0,64.0,1,1,2,2,3,3,8,8,1.6383805158909537,-9.140726974915726,3.0567276,-7.999744,33.44255,-101.39484,21,2019-01-16,22.2,0.0,82.345,11.405000000000001,1.0,182.135,2019,1,16,64.0,0,Peru_4002.csv
2019-01-17,4002,77.8,22.0,8.0,15.0,1.0,65.0,1,1,2,2,3,3,8,8,1.925720475407432,-7.006093200755315,3.2221482,-7.8735533,34.04933,-99.349556,21,2019-01-17,21.3325,0.0,86.4925,10.01,1.0,187.64,2019,1,17,77.8,0,Peru_4002.csv
