time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,3009,37.0,12.4,11.0,1.0,31.0,4.0,0,0,3,3,1,1,7,7,-2.0840193309577644,-2.1515472265481512,6.743489,5.551376,-11.4542265,-20.899574,18,2019-01-01,6.1,0.0,18.21,25.03,1.0,43.79,2019,1,1,37.0,0,USA_3009.csv
2019-01-02,3009,15.0,5.4,9.0,1.0,31.0,1.0,0,0,3,3,1,1,7,7,-3.977518425557729,-2.7693661595437717,3.5704606,2.9364285,-7.9240685,-94.719894,18,2019-01-02,6.57,0.0,14.79,14.32,1.0,48.25,2019,1,2,31.0,0,USA_3009.csv
2019-01-03,3009,14.0,7.4,9.0,2.0,27.0,1.0,0,0,3,3,1,1,1,1,-2.6940930797943117,-3.982559004114341,4.15989,3.1473424,0.356842,-78.74537,18,2019-01-03,8.43,0.0,20.88,18.66,1.0,48.54,2019,1,3,27.0,0,USA_3009.csv
2019-01-04,3009,15.0,10.4,16.0,3.0,22.0,1.4,0,0,3,3,5,5,1,1,0.8912541110374639,-6.225428929396352,7.2127347,1.4070805,32.91797,-65.83209,18,2019-01-04,9.31,0.0,27.83,16.83,1.0,56.29,2019,1,4,22.0,0,USA_3009.csv
2019-01-05,3009,23.0,13.4,12.0,3.0,24.0,1.2,0,0,3,3,5,5,1,1,0.30185115805954754,-4.971120932364764,6.91072,1.536908,27.745552,-71.72946,18,2019-01-05,8.62,0.0,42.92,9.34,1.0,96.29,2019,1,5,24.0,0,USA_3009.csv
2019-01-06,3009,33.0,27.2,3.0,1.0,29.0,1.0,0,0,3,3,1,1,7,7,-3.6582324682826153,-0.8715088829391903,5.8282933,8.885409,-66.94231,0.8974614,18,2019-01-06,8.12,0.0,84.12,9.33,1.0,189.08,2019,1,6,33.0,0,USA_3009.csv
2019-01-07,3009,20.0,21.6,6.0,2.0,26.0,1.4,0,0,3,3,1,1,7,7,-2.5860059669711917,-2.908859952789556,2.7992346,5.487944,-24.084602,-69.25846,18,2019-01-07,8.85,0.0,87.29,13.91,1.0,185.38,2019,1,7,26.0,0,USA_3009.csv
2019-01-08,3009,23.0,13.8,8.0,3.0,25.0,1.4,0,0,3,3,1,1,1,1,-0.9484063251053975,-4.209982894292728,6.2616353,1.439711,22.10419,-83.80181,18,2019-01-08,10.76,0.0,74.12,14.98,1.0,76.33,2019,1,8,25.0,0,USA_3009.csv
2019-01-09,3009,24.0,15.2,9.0,3.0,25.0,1.4,0,0,3,3,1,1,1,1,-0.5032081572591419,-4.24823098156839,6.4098954,1.4766363,26.30084,-81.53476,18,2019-01-09,10.32,0.0,67.96,5.93,1.0,111.21,2019,1,9,25.0,0,USA_3009.csv
2019-01-10,3009,25.0,14.0,10.0,3.0,24.0,1.0,0,0,3,3,1,1,1,1,-0.1493056204362611,-4.639485455717747,6.5265484,1.4157538,27.470488,-80.21396,18,2019-01-10,11.08,0.0,65.04,4.12,1.0,130.38,2019,1,10,25.0,0,USA_3009.csv
2019-01-11,3009,32.0,23.4,14.0,4.0,16.0,1.6,1,1,3,3,5,5,1,1,3.146533318283648,-6.637918359861037,9.632557,0.065764196,57.44119,-70.133736,18,2019-01-11,9.74,0.0,71.12,6.58,1.0,99.92,2019,1,11,32.0,0,USA_3009.csv
2019-01-12,3009,54.0,20.6,4.0,2.0,26.0,2.2,0,0,3,3,1,1,7,7,-1.384173173127128,-1.9994820458957445,8.255075,4.8560696,13.374994,-21.961767,18,2019-01-12,8.89,0.0,79.54,7.11,1.0,145.42,2019,1,12,54.0,0,USA_3009.csv
2019-01-13,3009,25.0,13.8,7.0,2.0,24.0,1.4,0,0,3,3,1,1,7,7,-2.4050287349506076,-3.765934261386222,4.039696,4.8836393,-10.037611,-77.30174,18,2019-01-13,8.05,0.0,71.58,14.46,1.0,68.75,2019,1,13,25.0,0,USA_3009.csv
2019-01-14,3009,22.0,18.6,9.0,2.0,18.0,1.2,0,0,3,3,1,1,1,1,-1.7043527866340116,-5.074000061450632,4.8354783,4.061133,-5.747275,-77.23061,18,2019-01-14,7.57,0.0,76.29,12.34,1.0,61.5,2019,1,14,22.0,0,USA_3009.csv
2019-01-15,3009,17.0,12.8,7.0,2.0,27.0,1.0,0,0,3,3,1,1,7,7,-2.8582635276679875,-3.371716820589994,3.384688,4.7667236,-10.611122,-86.8059,18,2019-01-15,6.58,0.0,82.79,11.55,1.0,90.04,2019,1,15,27.0,0,USA_3009.csv
2019-01-16,3009,22.0,10.2,8.0,1.0,21.0,1.0,0,0,3,3,1,1,7,7,-3.6772051336006997,-4.297917935787491,4.1529856,7.6476355,-20.767721,-45.27655,18,2019-01-16,10.17,0.0,89.83,12.87,1.0,176.54,2019,1,16,22.0,0,USA_3009.csv
2019-01-17,3009,13.0,10.0,5.0,1.0,22.0,1.2,0,0,3,3,1,1,7,7,-5.171532598231581,-3.880495425314296,3.6494143,8.678761,-90.99719,-7.5520244,18,2019-01-17,11.95,0.0,96.58,18.68,1.0,168.12,2019,1,17,22.0,0,USA_3009.csv
2019-01-18,3009,18.0,12.0,8.0,3.0,26.0,1.0,0,0,3,3,1,1,1,1,-1.27899870825338,-4.209323860264187,6.053811,1.4390501,22.633894,-85.48909,18,2019-01-18,11.17,0.0,83.0,9.48,1.0,160.79,2019,1,18,26.0,0,USA_3009.csv
2019-01-19,3009,28.0,20.2,5.0,2.0,32.0,1.6,0,0,3,3,1,1,7,7,-2.502177772770905,-1.453253178674634,15.686551,12.376109,-27.961359,-30.79836,18,2019-01-19,12.54,0.0,68.75,18.26,1.0,72.71,2019,1,19,32.0,0,USA_3009.csv
