time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,date,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,4001,79.6,31.8,7.8,8.0,5.0,16.0,2,2,1,1,1,1,4,4,-1.1366264519032339,-0.8355256996110035,4.448751,3.4717364,-21.634327,-73.974266,21,2019-01-01,21.2975,0.0,79.595,12.22625,1.0,169.41875,2019,1,1,79.6,0,Peru_4001.csv
2019-01-02,4001,85.0,44.4,8.0,8.0,7.0,15.0,2,2,1,1,4,4,9,9,0.092041076331299,0.06454788970427776,2.4598339,-2.293161,5.302065,-48.531414,21,2019-01-02,21.60875,0.0,77.335,12.69375,1.0,172.34875,2019,1,2,85.0,0,Peru_4001.csv
2019-01-03,4001,63.0,50.2,1.0,8.0,8.6,16.0,2,2,1,1,1,1,4,4,-1.7143206553878618,-1.39950658716035,0.6952373,-4.2274966,-45.93429,-19.365965,21,2019-01-03,21.30875,0.0,78.94375,10.72375,1.0,202.5525,2019,1,3,63.0,0,Peru_4001.csv
2019-01-04,4001,63.0,41.6,3.0,9.0,1.4,18.0,2,2,1,1,1,1,4,4,-2.876666073399644,-1.1693053244832974,0.6684025,-3.2845237,-58.293327,12.500679,21,2019-01-04,22.26375,0.0,76.16875,9.997499999999999,1.0,205.41625,2019,1,4,63.0,0,Peru_4001.csv
2019-01-05,4001,59.0,53.2,2.0,9.0,1.0,15.0,2,2,1,1,1,1,3,3,-3.007605457147655,-0.40074865727857256,0.63197964,-2.9640307,-76.88767,9.260643,21,2019-01-05,22.585,0.0,76.06875,10.78125,1.0,185.3375,2019,1,5,59.0,0,Peru_4001.csv
2019-01-06,4001,62.0,28.6,1.0,9.0,7.2,15.0,2,2,1,1,1,1,3,3,-3.2247845294961737,-2.171715727167078,7.4288163,2.279041,-71.3857,-9.504922,21,2019-01-06,22.009999999999998,0.0,76.27125,8.8225,1.0,185.635,2019,1,6,62.0,0,Peru_4001.csv
2019-01-07,4001,56.0,43.0,3.0,10.0,8.2,20.0,2,2,1,1,1,1,4,4,-1.7346950625995583,-2.655399184869707,1.9821974,-2.9293847,-42.38911,-20.944864,21,2019-01-07,22.4225,0.0,73.56875,8.22875,1.0,195.9275,2019,1,7,56.0,0,Peru_4001.csv
2019-01-08,4001,63.0,35.6,2.0,11.0,9.2,16.0,2,2,1,1,1,1,3,3,-2.156752887720233,-2.01202795142818,1.648535,-2.9023685,-43.978596,-19.733526,21,2019-01-08,22.42375,0.0,78.25,9.81875,1.0,182.605,2019,1,8,63.0,0,Peru_4001.csv
2019-01-09,4001,64.0,44.0,6.0,13.0,2.2,18.0,2,2,1,1,1,1,4,4,-1.942880498985587,-0.8585021461189803,1.6216606,-2.501546,-37.408356,-24.98235,21,2019-01-09,23.865,0.0,70.95375,11.1375,1.0,171.19625000000002,2019,1,9,64.0,0,Peru_4001.csv
2019-01-10,4001,75.0,48.8,5.0,16.0,3.0,16.0,2,2,1,1,1,1,11,11,-1.3946980892378273,0.589883865598084,0.9013626,-2.328793,-42.999386,24.423397,21,2019-01-10,23.17125,0.0,74.9,11.0625,1.0,178.02,2019,1,10,75.0,0,Peru_4001.csv
