time,station,PM2_5,PM10,NO2,CO,O3,SO2,Kmeans_3,HDBSCAN_3,Kmeans_4,HDBSCAN_4,Kmeans_6,HDBSCAN_6,Kmeans_12,HDBSCAN_12,PCA1,PCA2,UMAP1,UMAP2,TSNE1,TSNE2,district_id,TEMP,PRES,DEWP,WSPM,weather,wind_direction,year,month,day,AQI,RAIN,city
2019-01-01,0,78.93291164480681,32.91189839572193,7.617413754396468,13.742858261959473,8.465344810672946,22.947322503008422,1.75,1.75,1.25,1.25,2.25,2.25,7.0,7.0,0.10005291653937012,-1.7689390972266448,4.6117363,-2.6781123,0.57923675,-41.998283,21.0,21.2975,0.0,79.595,12.22625,1.0,169.41875,2019,1,1,78.93291164480681,0.0,Peru_Averaged.csv
2019-01-02,0,75.5829116448068,33.561898395721926,7.767413754396468,13.742858261959473,8.590344810672946,21.947322503008422,1.5,1.5,1.5,1.5,2.625,2.625,7.625,7.625,-0.06290278667264834,-1.8644305949672542,4.3784947,-3.0338638,7.7087994,-40.731087,21.0,21.60875,0.0,77.335,12.69375,1.0,172.34875,2019,1,2,75.5829116448068,0.0,Peru_Averaged.csv
2019-01-03,0,63.5079116448068,30.661898395721927,7.217413754396468,13.992858261959473,6.965344810672945,23.39732250300842,1.5,1.5,1.25,1.25,2.625,2.625,6.0,6.0,-1.0726307931083245,-2.8418814167928845,4.351123,-3.131643,-6.9449577,-38.712353,21.0,21.30875,0.0,78.94375,10.72375,1.0,202.5525,2019,1,3,64.7329116448068,0.0,Peru_Averaged.csv
2019-01-04,0,66.95791164480681,33.711898395721924,10.392413754396468,15.767858261959473,10.215344810672946,21.322322503008422,1.5,1.5,1.125,1.125,2.125,2.125,6.75,6.75,0.3046797537929753,-2.5185790208613468,4.206979,-3.569508,-2.543682,-28.394241,21.0,22.26375,0.0,76.16875,9.997499999999999,1.0,205.41625,2019,1,4,68.70791164480681,0.0,Peru_Averaged.csv
2019-01-05,0,62.81582328961361,36.92379679144385,8.284827508792937,15.360716523918947,7.4306896213458895,21.169645006016847,1.5,1.5,1.125,1.125,2.125,2.125,5.625,5.625,-0.6741767202939233,-2.264603206796456,5.8994737,-3.427226,-9.938801,-18.448769,21.0,22.585,0.0,76.06875,10.78125,1.0,185.3375,2019,1,5,65.21582328961361,0.0,Peru_Averaged.csv
2019-01-06,0,72.59082328961361,33.97379679144385,11.309827508792935,14.985716523918947,9.05568962134589,22.544645006016847,1.5,1.5,1.5,1.5,3.125,3.125,7.375,7.375,0.6739255943783327,-2.195377661772692,6.452097,-1.6295751,-1.1140685,-21.017447,21.0,22.009999999999998,0.0,76.27125,8.8225,1.0,185.635,2019,1,6,73.46582328961361,0.0,Peru_Averaged.csv
2019-01-07,0,62.34082328961361,34.77379679144385,10.534827508792937,19.985716523918946,11.08068962134589,23.119645006016846,1.5,1.5,1.125,1.125,2.5,2.5,6.5,6.5,0.48751326682394164,-2.843797681917234,6.5359917,-2.9883537,2.377094,-28.644417,21.0,22.4225,0.0,73.56875,8.22875,1.0,195.9275,2019,1,7,68.34082328961361,0.0,Peru_Averaged.csv
2019-01-08,0,61.44082328961361,34.47379679144385,10.584827508792936,16.860716523918946,10.85568962134589,22.919645006016847,1.5,1.5,1.125,1.125,3.0,3.0,6.125,6.125,0.375913694586145,-3.0988860757138905,6.283943,-2.7797768,5.046947,-25.156384,21.0,22.42375,0.0,78.25,9.81875,1.0,182.605,2019,1,8,64.74082328961362,0.0,Peru_Averaged.csv
2019-01-09,0,65.29082328961361,38.14879679144385,12.534827508792937,17.485716523918946,7.13068962134589,21.994645006016846,1.25,1.25,1.5,1.5,3.0,3.0,7.125,7.125,0.3955637923077259,-2.0461593083570455,5.7961254,-2.6780133,8.328789,-21.640295,21.0,23.865,0.0,70.95375,11.1375,1.0,171.19625000000002,2019,1,9,66.79082328961361,0.0,Peru_Averaged.csv
2019-01-10,0,70.0658232896136,39.62379679144385,11.709827508792936,16.160716523918946,4.530689621345889,22.019645006016848,1.25,1.25,1.75,1.75,3.25,3.25,8.25,8.25,0.06505778990493988,-1.3795724234459434,5.2927504,-2.4765034,0.9291587,-6.7337914,21.0,23.17125,0.0,74.9,11.0625,1.0,178.02,2019,1,10,71.0658232896136,0.0,Peru_Averaged.csv
2019-01-11,0,70.54082328961361,40.12379679144385,11.359827508792936,20.335716523918947,6.45568962134589,22.169645006016847,1.5,1.5,1.5,1.5,2.75,2.75,8.5,8.5,0.409704503911408,-1.2680192642484747,5.8183813,-3.1828885,-4.5022125,-9.593221,21.0,23.5825,0.0,70.16625,10.42375,1.0,172.10375,2019,1,11,71.91582328961361,0.0,Peru_Averaged.csv
